in epoch 0, loss = 0.7202762961387634
in epoch 1, loss = 0.6490770578384399
in epoch 2, loss = 0.61683189868927
in epoch 3, loss = 0.6176460981369019
in epoch 4, loss = 0.5678360462188721
in epoch 5, loss = 0.5305091142654419
in epoch 6, loss = 0.4702044427394867
in epoch 7, loss = 0.4445837438106537
in epoch 8, loss = 0.4226541221141815
in epoch 9, loss = 0.40762656927108765
in epoch 10, loss = 0.38587769865989685
in epoch 11, loss = 0.38765740394592285
in epoch 12, loss = 0.39858147501945496
in epoch 13, loss = 0.35999560356140137
in epoch 14, loss = 0.3883020281791687
in epoch 15, loss = 0.3531976640224457
in epoch 16, loss = 0.36025702953338623
in epoch 17, loss = 0.3563346564769745
in epoch 18, loss = 0.36027848720550537
in epoch 19, loss = 0.35994672775268555
in epoch 20, loss = 0.35589826107025146
in epoch 21, loss = 0.33495068550109863
in epoch 22, loss = 0.33202970027923584
in epoch 23, loss = 0.36258190870285034
in epoch 24, loss = 0.326249361038208
in epoch 25, loss = 0.3176828920841217
in epoch 26, loss = 0.30916085839271545
in epoch 27, loss = 0.29832953214645386
in epoch 28, loss = 0.2963036000728607
in epoch 29, loss = 0.2972732186317444
in epoch 30, loss = 0.2966236472129822
in epoch 31, loss = 0.28844815492630005
in epoch 32, loss = 0.3007887005805969
in epoch 33, loss = 0.2733500301837921
in epoch 34, loss = 0.28729963302612305
in epoch 35, loss = 0.269442081451416
in epoch 36, loss = 0.25812387466430664
in epoch 37, loss = 0.24710552394390106
in epoch 38, loss = 0.24387601017951965
in epoch 39, loss = 0.23012129962444305
in epoch 40, loss = 0.22508952021598816
in epoch 41, loss = 0.20988333225250244
in epoch 42, loss = 0.20626044273376465
in epoch 43, loss = 0.18788813054561615
in epoch 44, loss = 0.21983031928539276
in epoch 45, loss = 0.18158510327339172
in epoch 46, loss = 0.23124580085277557
in epoch 47, loss = 0.21082721650600433
in epoch 48, loss = 0.21132555603981018
in epoch 49, loss = 0.20026284456253052
in epoch 50, loss = 0.18414458632469177
in epoch 51, loss = 0.1881125569343567
in epoch 52, loss = 0.20887082815170288
in epoch 53, loss = 0.1963113397359848
in epoch 54, loss = 0.2036592662334442
in epoch 55, loss = 0.15381279587745667
in epoch 56, loss = 0.15461115539073944
in epoch 57, loss = 0.15388602018356323
in epoch 58, loss = 0.16445493698120117
in epoch 59, loss = 0.14601877331733704
in epoch 60, loss = 0.13838309049606323
in epoch 61, loss = 0.13467565178871155
in epoch 62, loss = 0.13418857753276825
in epoch 63, loss = 0.14466944336891174
in epoch 64, loss = 0.13163533806800842
in epoch 65, loss = 0.12494608014822006
in epoch 66, loss = 0.12215285003185272
in epoch 67, loss = 0.1270993947982788
in epoch 68, loss = 0.11945658922195435
in epoch 69, loss = 0.13139311969280243
in epoch 70, loss = 0.1200208067893982
in epoch 71, loss = 0.11929991096258163
in epoch 72, loss = 0.12435935437679291
in epoch 73, loss = 0.11292728036642075
in epoch 74, loss = 0.11142339557409286
in epoch 75, loss = 0.1205008253455162
in epoch 76, loss = 0.10979076474905014
in epoch 77, loss = 0.10934861749410629
in epoch 78, loss = 0.11736413091421127
in epoch 79, loss = 0.10380429029464722
in epoch 80, loss = 0.10779546201229095
in epoch 81, loss = 0.11436653137207031
in epoch 82, loss = 0.12083272635936737
in epoch 83, loss = 0.10207273811101913
in epoch 84, loss = 0.11258616298437119
in epoch 85, loss = 0.10711314529180527
in epoch 86, loss = 0.09989987313747406
in epoch 87, loss = 0.09794219583272934
in epoch 88, loss = 0.10226748883724213
in epoch 89, loss = 0.1061069592833519
in epoch 90, loss = 0.09749891608953476
in epoch 91, loss = 0.1080600842833519
in epoch 92, loss = 0.10536744445562363
in epoch 93, loss = 0.09796564280986786
in epoch 94, loss = 0.10539929568767548
in epoch 95, loss = 0.08931224048137665
in epoch 96, loss = 0.10182826220989227
in epoch 97, loss = 0.1001417264342308
in epoch 98, loss = 0.0941501259803772
in epoch 99, loss = 0.09639686346054077
in epoch 100, loss = 0.09452992677688599
in epoch 101, loss = 0.09065121412277222
in epoch 102, loss = 0.09407895803451538
in epoch 103, loss = 0.09108006954193115
in epoch 104, loss = 0.08999137580394745
in epoch 105, loss = 0.08956402540206909
in epoch 106, loss = 0.08566059917211533
in epoch 107, loss = 0.08431156724691391
in epoch 108, loss = 0.10111407935619354
in epoch 109, loss = 0.08423666656017303
in epoch 110, loss = 0.0888548493385315
in epoch 111, loss = 0.08022485673427582
in epoch 112, loss = 0.08465521037578583
in epoch 113, loss = 0.08024829626083374
in epoch 114, loss = 0.08021068572998047
