in epoch 0, loss = 0.7372555136680603
in epoch 1, loss = 0.7168137431144714
in epoch 2, loss = 0.6973158121109009
in epoch 3, loss = 0.6783272624015808
in epoch 4, loss = 0.6575765013694763
in epoch 5, loss = 0.6355777978897095
in epoch 6, loss = 0.6110014319419861
in epoch 7, loss = 0.5815712809562683
in epoch 8, loss = 0.5490034818649292
in epoch 9, loss = 0.5129619836807251
in epoch 10, loss = 0.468438982963562
in epoch 11, loss = 0.4406002461910248
in epoch 12, loss = 0.4115371108055115
in epoch 13, loss = 0.398090124130249
in epoch 14, loss = 0.3839431703090668
in epoch 15, loss = 0.37411531805992126
in epoch 16, loss = 0.3628880977630615
in epoch 17, loss = 0.35229119658470154
in epoch 18, loss = 0.3394545018672943
in epoch 19, loss = 0.3205261826515198
in epoch 20, loss = 0.303315132856369
in epoch 21, loss = 0.2845430374145508
in epoch 22, loss = 0.2768705487251282
in epoch 23, loss = 0.2662418782711029
in epoch 24, loss = 0.2457442730665207
in epoch 25, loss = 0.2440560907125473
in epoch 26, loss = 0.21149447560310364
in epoch 27, loss = 0.1969662755727768
in epoch 28, loss = 0.1579749435186386
in epoch 29, loss = 0.16243800520896912
in epoch 30, loss = 0.15353475511074066
in epoch 31, loss = 0.1373598873615265
in epoch 32, loss = 0.12462209165096283
in epoch 33, loss = 0.1088421568274498
in epoch 34, loss = 0.109763503074646
in epoch 35, loss = 0.09769056737422943
in epoch 36, loss = 0.09675022214651108
in epoch 37, loss = 0.08711028099060059
in epoch 38, loss = 0.08624772727489471
in epoch 39, loss = 0.08164066076278687
in epoch 40, loss = 0.07931598275899887
in epoch 41, loss = 0.07472529262304306
in epoch 42, loss = 0.07387538999319077
in epoch 43, loss = 0.07148616015911102
in epoch 44, loss = 0.06898872554302216
in epoch 45, loss = 0.06967496871948242
in epoch 46, loss = 0.0651392936706543
in epoch 47, loss = 0.06484320014715195
in epoch 48, loss = 0.06359206140041351
in epoch 49, loss = 0.06151165813207626
in epoch 50, loss = 0.06114053726196289
in epoch 51, loss = 0.059754252433776855
in epoch 52, loss = 0.059110127389431
in epoch 53, loss = 0.05692492052912712
in epoch 54, loss = 0.05694230645895004
in epoch 55, loss = 0.055560510605573654
in epoch 56, loss = 0.05453846976161003
in epoch 57, loss = 0.0540541410446167
in epoch 58, loss = 0.05255383253097534
in epoch 59, loss = 0.052257657051086426
in epoch 60, loss = 0.051458656787872314
in epoch 61, loss = 0.050388872623443604
in epoch 62, loss = 0.050066988915205
in epoch 63, loss = 0.0491534098982811
in epoch 64, loss = 0.04823072999715805
in epoch 65, loss = 0.047928016632795334
in epoch 66, loss = 0.047230325639247894
in epoch 67, loss = 0.0463281087577343
in epoch 68, loss = 0.04600467532873154
in epoch 69, loss = 0.04552769660949707
in epoch 70, loss = 0.04468141123652458
in epoch 71, loss = 0.044146519154310226
in epoch 72, loss = 0.043809354305267334
in epoch 73, loss = 0.043389223515987396
in epoch 74, loss = 0.04284316301345825
in epoch 75, loss = 0.042282264679670334
in epoch 76, loss = 0.041660748422145844
in epoch 77, loss = 0.041262269020080566
in epoch 78, loss = 0.04083460569381714
in epoch 79, loss = 0.04058017581701279
in epoch 80, loss = 0.040571194142103195
in epoch 81, loss = 0.04157048463821411
in epoch 82, loss = 0.0453312024474144
in epoch 83, loss = 0.052698295563459396
in epoch 84, loss = 0.047217290848493576
in epoch 85, loss = 0.039258718490600586
in epoch 86, loss = 0.04659857600927353
in epoch 87, loss = 0.0397023968398571
in epoch 88, loss = 0.043293457478284836
in epoch 89, loss = 0.03945267200469971
in epoch 90, loss = 0.041303616017103195
in epoch 91, loss = 0.03927832841873169
in epoch 92, loss = 0.038950365036726
in epoch 93, loss = 0.039021432399749756
in epoch 94, loss = 0.03847626969218254
in epoch 95, loss = 0.03729671239852905
in epoch 96, loss = 0.03832580894231796
in epoch 97, loss = 0.036563239991664886
in epoch 98, loss = 0.03727559372782707
in epoch 99, loss = 0.03629819676280022
in epoch 100, loss = 0.03640363737940788
in epoch 101, loss = 0.035618484020233154
in epoch 102, loss = 0.0360812172293663
in epoch 103, loss = 0.034791551530361176
in epoch 104, loss = 0.03553817793726921
in epoch 105, loss = 0.0344579815864563
in epoch 106, loss = 0.03472801297903061
in epoch 107, loss = 0.03420988842844963
in epoch 108, loss = 0.034226756542921066
in epoch 109, loss = 0.033662617206573486
in epoch 110, loss = 0.03389909118413925
in epoch 111, loss = 0.03319613263010979
in epoch 112, loss = 0.03344911336898804
