in epoch 0, loss = 0.7212905287742615
in epoch 1, loss = 0.6875326633453369
in epoch 2, loss = 0.6805175542831421
in epoch 3, loss = 0.6530803442001343
in epoch 4, loss = 0.6727619171142578
in epoch 5, loss = 0.62874835729599
in epoch 6, loss = 0.6318689584732056
in epoch 7, loss = 0.604534387588501
in epoch 8, loss = 0.5667194128036499
in epoch 9, loss = 0.5191248655319214
in epoch 10, loss = 0.5187332630157471
in epoch 11, loss = 0.4846164584159851
in epoch 12, loss = 0.4641127586364746
in epoch 13, loss = 0.4525560736656189
in epoch 14, loss = 0.46377143263816833
in epoch 15, loss = 0.4345850348472595
in epoch 16, loss = 0.42098268866539
in epoch 17, loss = 0.4051905572414398
in epoch 18, loss = 0.4098094403743744
in epoch 19, loss = 0.3826987147331238
in epoch 20, loss = 0.43103811144828796
in epoch 21, loss = 0.41600126028060913
in epoch 22, loss = 0.38578805327415466
in epoch 23, loss = 0.38475799560546875
in epoch 24, loss = 0.44966745376586914
in epoch 25, loss = 0.4530802369117737
in epoch 26, loss = 0.39083871245384216
in epoch 27, loss = 0.3600235879421234
in epoch 28, loss = 0.3593922555446625
in epoch 29, loss = 0.369431734085083
in epoch 30, loss = 0.3651583194732666
in epoch 31, loss = 0.3626244068145752
in epoch 32, loss = 0.358835905790329
in epoch 33, loss = 0.38965868949890137
in epoch 34, loss = 0.3788315951824188
