in epoch 0, loss = 0.7054096460342407
in epoch 1, loss = 0.7245520353317261
in epoch 2, loss = 0.6656424403190613
in epoch 3, loss = 0.6634128093719482
in epoch 4, loss = 0.5967248678207397
in epoch 5, loss = 0.565157413482666
in epoch 6, loss = 0.5186166763305664
in epoch 7, loss = 0.4694278836250305
in epoch 8, loss = 0.48230504989624023
in epoch 9, loss = 0.47330963611602783
in epoch 10, loss = 0.44245824217796326
in epoch 11, loss = 0.4157818555831909
in epoch 12, loss = 0.41537928581237793
in epoch 13, loss = 0.37020763754844666
in epoch 14, loss = 0.36513862013816833
in epoch 15, loss = 0.3533710837364197
in epoch 16, loss = 0.37909454107284546
in epoch 17, loss = 0.36011403799057007
in epoch 18, loss = 0.35168468952178955
in epoch 19, loss = 0.349054753780365
in epoch 20, loss = 0.33984726667404175
in epoch 21, loss = 0.3822474479675293
in epoch 22, loss = 0.33232685923576355
in epoch 23, loss = 0.30809155106544495
in epoch 24, loss = 0.328891783952713
in epoch 25, loss = 0.3383687436580658
in epoch 26, loss = 0.34764108061790466
in epoch 27, loss = 0.3265721797943115
in epoch 28, loss = 0.31169456243515015
in epoch 29, loss = 0.328793466091156
in epoch 30, loss = 0.3099280595779419
in epoch 31, loss = 0.27063173055648804
in epoch 32, loss = 0.3183337152004242
in epoch 33, loss = 0.2895125448703766
in epoch 34, loss = 0.2786388695240021
in epoch 35, loss = 0.28550490736961365
in epoch 36, loss = 0.3060828149318695
in epoch 37, loss = 0.27910375595092773
in epoch 38, loss = 0.27460142970085144
in epoch 39, loss = 0.283975213766098
in epoch 40, loss = 0.27290916442871094
in epoch 41, loss = 0.269520103931427
in epoch 42, loss = 0.2717294692993164
in epoch 43, loss = 0.24713411927223206
in epoch 44, loss = 0.2524902820587158
in epoch 45, loss = 0.250872403383255
in epoch 46, loss = 0.23904350399971008
in epoch 47, loss = 0.23206594586372375
in epoch 48, loss = 0.2293262481689453
in epoch 49, loss = 0.2739652097225189
in epoch 50, loss = 0.21048131585121155
in epoch 51, loss = 0.2118210643529892
in epoch 52, loss = 0.2535706162452698
in epoch 53, loss = 0.20117579400539398
in epoch 54, loss = 0.20566701889038086
in epoch 55, loss = 0.24497757852077484
in epoch 56, loss = 0.1967736929655075
in epoch 57, loss = 0.2118729203939438
in epoch 58, loss = 0.1990937888622284
in epoch 59, loss = 0.18778268992900848
in epoch 60, loss = 0.1678621470928192
in epoch 61, loss = 0.19531100988388062
in epoch 62, loss = 0.16201037168502808
in epoch 63, loss = 0.17155596613883972
in epoch 64, loss = 0.17048320174217224
in epoch 65, loss = 0.15963953733444214
in epoch 66, loss = 0.16295424103736877
in epoch 67, loss = 0.13539251685142517
in epoch 68, loss = 0.14812958240509033
in epoch 69, loss = 0.15985994040966034
in epoch 70, loss = 0.19198140501976013
in epoch 71, loss = 0.14512306451797485
in epoch 72, loss = 0.151559516787529
in epoch 73, loss = 0.14025849103927612
in epoch 74, loss = 0.15113231539726257
in epoch 75, loss = 0.13009046018123627
in epoch 76, loss = 0.14543288946151733
in epoch 77, loss = 0.15369608998298645
in epoch 78, loss = 0.12730346620082855
in epoch 79, loss = 0.1314062774181366
in epoch 80, loss = 0.13590964674949646
in epoch 81, loss = 0.1458730697631836
in epoch 82, loss = 0.126366525888443
in epoch 83, loss = 0.14581263065338135
in epoch 84, loss = 0.12204807996749878
in epoch 85, loss = 0.14634457230567932
in epoch 86, loss = 0.13050387799739838
in epoch 87, loss = 0.12238647788763046
in epoch 88, loss = 0.12348028272390366
in epoch 89, loss = 0.12326888740062714
in epoch 90, loss = 0.13337640464305878
in epoch 91, loss = 0.11976812779903412
in epoch 92, loss = 0.11953872442245483
in epoch 93, loss = 0.11320066452026367
in epoch 94, loss = 0.1184205636382103
in epoch 95, loss = 0.12963426113128662
in epoch 96, loss = 0.10952039808034897
in epoch 97, loss = 0.11163336038589478
in epoch 98, loss = 0.10567569732666016
in epoch 99, loss = 0.10505920648574829
in epoch 100, loss = 0.10156767070293427
