in epoch 0, loss = 0.16108354926109314, dice = 0.7562346458435059
in epoch 1, loss = 0.24923431873321533, dice = 0.7316965460777283
in epoch 2, loss = 0.18399065732955933, dice = 0.718961238861084
in epoch 3, loss = 0.055912964046001434, dice = 0.5834656953811646
in epoch 4, loss = 0.02196582779288292, dice = 0.5356724858283997
in epoch 5, loss = 0.017361842095851898, dice = 0.5607613921165466
in epoch 6, loss = 0.011911408975720406, dice = 0.5405210256576538
in epoch 7, loss = 0.011738303117454052, dice = 0.5424351096153259
in epoch 8, loss = 0.008451515808701515, dice = 0.509768009185791
in epoch 9, loss = 0.007499543949961662, dice = 0.49613112211227417
in epoch 10, loss = 0.0073280190117657185, dice = 0.49156618118286133
in epoch 11, loss = 0.006216705776751041, dice = 0.463392436504364
in epoch 12, loss = 0.00581108033657074, dice = 0.4584452509880066
in epoch 13, loss = 0.005382501520216465, dice = 0.4415602684020996
in epoch 14, loss = 0.0048012882471084595, dice = 0.42995333671569824
in epoch 15, loss = 0.00416123541072011, dice = 0.4098432958126068
in epoch 16, loss = 0.0036561372689902782, dice = 0.39807114005088806
in epoch 17, loss = 0.0035934769548475742, dice = 0.40434730052948
in epoch 18, loss = 0.003392697311937809, dice = 0.38103756308555603
