in epoch 0, loss_2 = 0.7736228704452515
in epoch 1, loss_2 = 0.7214333415031433
in epoch 2, loss_2 = 0.68779456615448
in epoch 3, loss_2 = 0.661716878414154
in epoch 4, loss_2 = 0.6395877003669739
in epoch 5, loss_2 = 0.6188513040542603
in epoch 6, loss_2 = 0.5983945727348328
in epoch 7, loss_2 = 0.5782634019851685
in epoch 8, loss_2 = 0.559319257736206
in epoch 9, loss_2 = 0.5430141091346741
in epoch 10, loss_2 = 0.52796471118927
in epoch 11, loss_2 = 0.5118652582168579
in epoch 12, loss_2 = 0.49630773067474365
in epoch 13, loss_2 = 0.48280656337738037
in epoch 14, loss_2 = 0.4711431860923767
in epoch 15, loss_2 = 0.4607263505458832
in epoch 16, loss_2 = 0.4513409733772278
in epoch 17, loss_2 = 0.44300875067710876
in epoch 18, loss_2 = 0.435356080532074
in epoch 19, loss_2 = 0.42815613746643066
in epoch 20, loss_2 = 0.4215700626373291
in epoch 21, loss_2 = 0.4156665802001953
in epoch 22, loss_2 = 0.4102291464805603
in epoch 23, loss_2 = 0.40512165427207947
in epoch 24, loss_2 = 0.4003908038139343
in epoch 25, loss_2 = 0.3960057199001312
in epoch 26, loss_2 = 0.39186450839042664
in epoch 27, loss_2 = 0.38802385330200195
in epoch 28, loss_2 = 0.3845083713531494
in epoch 29, loss_2 = 0.38120192289352417
in epoch 30, loss_2 = 0.3780479431152344
in epoch 31, loss_2 = 0.37505656480789185
in epoch 32, loss_2 = 0.3721548020839691
in epoch 33, loss_2 = 0.3692135810852051
in epoch 34, loss_2 = 0.36618563532829285
in epoch 35, loss_2 = 0.36307042837142944
in epoch 36, loss_2 = 0.359737366437912
in epoch 37, loss_2 = 0.35604339838027954
in epoch 38, loss_2 = 0.35192999243736267
in epoch 39, loss_2 = 0.34727388620376587
in epoch 40, loss_2 = 0.3418208360671997
in epoch 41, loss_2 = 0.3353385329246521
in epoch 42, loss_2 = 0.32769978046417236
in epoch 43, loss_2 = 0.3198682367801666
in epoch 44, loss_2 = 0.31265386939048767
in epoch 45, loss_2 = 0.3042367398738861
in epoch 46, loss_2 = 0.29380202293395996
in epoch 47, loss_2 = 0.2819772958755493
in epoch 48, loss_2 = 0.2698330879211426
in epoch 49, loss_2 = 0.2574910819530487
in epoch 50, loss_2 = 0.24438238143920898
in epoch 51, loss_2 = 0.23046621680259705
in epoch 52, loss_2 = 0.21600095927715302
in epoch 53, loss_2 = 0.20157617330551147
in epoch 54, loss_2 = 0.18732695281505585
in epoch 55, loss_2 = 0.1738244742155075
in epoch 56, loss_2 = 0.1615304797887802
in epoch 57, loss_2 = 0.14999625086784363
in epoch 58, loss_2 = 0.13909336924552917
in epoch 59, loss_2 = 0.12942013144493103
in epoch 60, loss_2 = 0.1211608275771141
in epoch 61, loss_2 = 0.11393831670284271
in epoch 62, loss_2 = 0.1074439287185669
in epoch 63, loss_2 = 0.10176734626293182
in epoch 64, loss_2 = 0.09685298055410385
in epoch 65, loss_2 = 0.09264630079269409
in epoch 66, loss_2 = 0.0890178307890892
in epoch 67, loss_2 = 0.08577670902013779
in epoch 68, loss_2 = 0.08278610557317734
in epoch 69, loss_2 = 0.08014746755361557
in epoch 70, loss_2 = 0.0778626799583435
in epoch 71, loss_2 = 0.07581641525030136
in epoch 72, loss_2 = 0.07395994663238525
in epoch 73, loss_2 = 0.07238775491714478
in epoch 74, loss_2 = 0.07089447975158691
in epoch 75, loss_2 = 0.06919785588979721
in epoch 76, loss_2 = 0.06741118431091309
in epoch 77, loss_2 = 0.06625674664974213
in epoch 78, loss_2 = 0.0653390884399414
in epoch 79, loss_2 = 0.06399913877248764
in epoch 80, loss_2 = 0.06278586387634277
in epoch 81, loss_2 = 0.0620218925178051
in epoch 82, loss_2 = 0.06118619441986084
in epoch 83, loss_2 = 0.06014249846339226
in epoch 84, loss_2 = 0.05930521339178085
in epoch 85, loss_2 = 0.058644138276576996
in epoch 86, loss_2 = 0.05782517045736313
in epoch 87, loss_2 = 0.05701041221618652
in epoch 88, loss_2 = 0.056391000747680664
in epoch 89, loss_2 = 0.05576324462890625
in epoch 90, loss_2 = 0.055047016590833664
in epoch 91, loss_2 = 0.054446518421173096
in epoch 92, loss_2 = 0.053955238312482834
in epoch 93, loss_2 = 0.05340331792831421
in epoch 94, loss_2 = 0.05281662940979004
in epoch 95, loss_2 = 0.05230871960520744
in epoch 96, loss_2 = 0.05188014358282089
in epoch 97, loss_2 = 0.05143098160624504
in epoch 98, loss_2 = 0.05094236135482788
in epoch 99, loss_2 = 0.050472795963287354
in epoch 100, loss_2 = 0.05005413293838501
in epoch 101, loss_2 = 0.049668751657009125
in epoch 102, loss_2 = 0.04929262399673462
in epoch 103, loss_2 = 0.04890429973602295
in epoch 104, loss_2 = 0.04851260036230087
in epoch 105, loss_2 = 0.04812425374984741
in epoch 106, loss_2 = 0.0477471761405468
in epoch 107, loss_2 = 0.04737764596939087
in epoch 108, loss_2 = 0.0470171794295311
in epoch 109, loss_2 = 0.04666843265295029
in epoch 110, loss_2 = 0.04633041471242905
in epoch 111, loss_2 = 0.04599921032786369
in epoch 112, loss_2 = 0.04567533731460571
in epoch 113, loss_2 = 0.04535949230194092
in epoch 114, loss_2 = 0.045056939125061035
in epoch 115, loss_2 = 0.04479140043258667
in epoch 116, loss_2 = 0.044674694538116455
in epoch 117, loss_2 = 0.04522307962179184
in epoch 118, loss_2 = 0.04784335941076279
in epoch 119, loss_2 = 0.04868259280920029
in epoch 120, loss_2 = 0.044359248131513596
in epoch 121, loss_2 = 0.04537978023290634
in epoch 122, loss_2 = 0.044463396072387695
in epoch 123, loss_2 = 0.043942492455244064
in epoch 124, loss_2 = 0.044027507305145264
in epoch 125, loss_2 = 0.04329083487391472
in epoch 126, loss_2 = 0.04330381006002426
in epoch 127, loss_2 = 0.04258430004119873
in epoch 128, loss_2 = 0.04278331995010376
in epoch 129, loss_2 = 0.042118072509765625
in epoch 130, loss_2 = 0.04230082035064697
in epoch 131, loss_2 = 0.04150776192545891
in epoch 132, loss_2 = 0.041799843311309814
in epoch 133, loss_2 = 0.041026435792446136
in epoch 134, loss_2 = 0.04134511947631836
in epoch 135, loss_2 = 0.04056596755981445
in epoch 136, loss_2 = 0.04086192697286606
in epoch 137, loss_2 = 0.04017230123281479
in epoch 138, loss_2 = 0.04043038934469223
in epoch 139, loss_2 = 0.039815545082092285
in epoch 140, loss_2 = 0.0399433970451355
in epoch 141, loss_2 = 0.03951054811477661
in epoch 142, loss_2 = 0.03943725675344467
in epoch 143, loss_2 = 0.0392833948135376
in epoch 144, loss_2 = 0.03894905373454094
in epoch 145, loss_2 = 0.03901287168264389
in epoch 146, loss_2 = 0.0385897159576416
in epoch 147, loss_2 = 0.0385870561003685
in epoch 148, loss_2 = 0.03835825249552727
in epoch 149, loss_2 = 0.03812352940440178
in epoch 150, loss_2 = 0.038097165524959564
in epoch 151, loss_2 = 0.03778980299830437
in epoch 152, loss_2 = 0.03771551698446274
in epoch 153, loss_2 = 0.03757153078913689
in epoch 154, loss_2 = 0.03731805086135864
in epoch 155, loss_2 = 0.03726571798324585
in epoch 156, loss_2 = 0.03708001226186752
in epoch 157, loss_2 = 0.03687518835067749
in epoch 158, loss_2 = 0.03681125491857529
in epoch 159, loss_2 = 0.03663394972681999
in epoch 160, loss_2 = 0.03643824905157089
in epoch 161, loss_2 = 0.03635573387145996
in epoch 162, loss_2 = 0.03621629998087883
in epoch 163, loss_2 = 0.03602069616317749
in epoch 164, loss_2 = 0.03590403124690056
in epoch 165, loss_2 = 0.03580266237258911
in epoch 166, loss_2 = 0.03563129901885986
in epoch 167, loss_2 = 0.035472095012664795
in epoch 168, loss_2 = 0.03536510467529297
in epoch 169, loss_2 = 0.0352543406188488
in epoch 170, loss_2 = 0.03510163351893425
in epoch 171, loss_2 = 0.03494381904602051
in epoch 172, loss_2 = 0.03481396287679672
in epoch 173, loss_2 = 0.03470846265554428
in epoch 174, loss_2 = 0.03459962457418442
in epoch 175, loss_2 = 0.03447594493627548
in epoch 176, loss_2 = 0.03433867543935776
in epoch 177, loss_2 = 0.03419661521911621
in epoch 178, loss_2 = 0.034057341516017914
in epoch 179, loss_2 = 0.0339256152510643
in epoch 180, loss_2 = 0.03379780054092407
in epoch 181, loss_2 = 0.03367424011230469
in epoch 182, loss_2 = 0.03355264663696289
in epoch 183, loss_2 = 0.03343617916107178
in epoch 184, loss_2 = 0.03332962840795517
in epoch 185, loss_2 = 0.03325601667165756
in epoch 186, loss_2 = 0.033294081687927246
in epoch 187, loss_2 = 0.033708274364471436
in epoch 188, loss_2 = 0.03517363592982292
in epoch 189, loss_2 = 0.03741918131709099
in epoch 190, loss_2 = 0.036025047302246094
in epoch 191, loss_2 = 0.033178072422742844
in epoch 192, loss_2 = 0.03610001131892204
in epoch 193, loss_2 = 0.03318943828344345
in epoch 194, loss_2 = 0.0347057580947876
in epoch 195, loss_2 = 0.03292391821742058
in epoch 196, loss_2 = 0.03398847579956055
in epoch 197, loss_2 = 0.03289131447672844
in epoch 198, loss_2 = 0.03332938998937607
in epoch 199, loss_2 = 0.03255637735128403
in epoch 200, loss_2 = 0.03273705765604973
in epoch 201, loss_2 = 0.032492220401763916
in epoch 202, loss_2 = 0.0322636179625988
in epoch 203, loss_2 = 0.032260142266750336
in epoch 204, loss_2 = 0.03174843639135361
in epoch 205, loss_2 = 0.032039105892181396
in epoch 206, loss_2 = 0.03144550323486328
in epoch 207, loss_2 = 0.0317828468978405
in epoch 208, loss_2 = 0.0311661958694458
in epoch 209, loss_2 = 0.03141208738088608
in epoch 210, loss_2 = 0.030977090820670128
in epoch 211, loss_2 = 0.031069379299879074
in epoch 212, loss_2 = 0.030896883457899094
in epoch 213, loss_2 = 0.03069138526916504
in epoch 214, loss_2 = 0.030790269374847412
in epoch 215, loss_2 = 0.03039630316197872
in epoch 216, loss_2 = 0.030549030750989914
in epoch 217, loss_2 = 0.03026394173502922
in epoch 218, loss_2 = 0.030197441577911377
in epoch 219, loss_2 = 0.03018246218562126
in epoch 220, loss_2 = 0.02992900274693966
in epoch 221, loss_2 = 0.029970606788992882
in epoch 222, loss_2 = 0.029840271919965744
in epoch 223, loss_2 = 0.02965247631072998
in epoch 224, loss_2 = 0.029694020748138428
in epoch 225, loss_2 = 0.029520055279135704
in epoch 226, loss_2 = 0.029389183968305588
in epoch 227, loss_2 = 0.029388945549726486
in epoch 228, loss_2 = 0.029242318123579025
in epoch 229, loss_2 = 0.029109816998243332
in epoch 230, loss_2 = 0.029097577556967735
in epoch 231, loss_2 = 0.028971096500754356
in epoch 232, loss_2 = 0.02884453535079956
in epoch 233, loss_2 = 0.02880692481994629
in epoch 234, loss_2 = 0.028717398643493652
in epoch 235, loss_2 = 0.028577646240592003
in epoch 236, loss_2 = 0.02852032706141472
in epoch 237, loss_2 = 0.02845817804336548
in epoch 238, loss_2 = 0.028342366218566895
in epoch 239, loss_2 = 0.028233051300048828
in epoch 240, loss_2 = 0.028178831562399864
in epoch 241, loss_2 = 0.028105556964874268
in epoch 242, loss_2 = 0.028001725673675537
in epoch 243, loss_2 = 0.027894755825400352
in epoch 244, loss_2 = 0.027822773903608322
in epoch 245, loss_2 = 0.027760088443756104
in epoch 246, loss_2 = 0.0276807751506567
in epoch 247, loss_2 = 0.027583420276641846
in epoch 248, loss_2 = 0.027484020218253136
in epoch 249, loss_2 = 0.027400057762861252
in epoch 250, loss_2 = 0.02732684276998043
in epoch 251, loss_2 = 0.02726171538233757
in epoch 252, loss_2 = 0.027194499969482422
in epoch 253, loss_2 = 0.027127783745527267
in epoch 254, loss_2 = 0.027064185589551926
in epoch 255, loss_2 = 0.02700917050242424
in epoch 256, loss_2 = 0.026979168877005577
in epoch 257, loss_2 = 0.026982486248016357
in epoch 258, loss_2 = 0.027062952518463135
in epoch 259, loss_2 = 0.02717500925064087
in epoch 260, loss_2 = 0.027382653206586838
in epoch 261, loss_2 = 0.02722422406077385
in epoch 262, loss_2 = 0.026838144287467003
in epoch 263, loss_2 = 0.026383599266409874
in epoch 264, loss_2 = 0.026438435539603233
in epoch 265, loss_2 = 0.026668986305594444
in epoch 266, loss_2 = 0.026451369747519493
in epoch 267, loss_2 = 0.02611621282994747
in epoch 268, loss_2 = 0.02600940130650997
in epoch 269, loss_2 = 0.026127656921744347
in epoch 270, loss_2 = 0.026206811890006065
in epoch 271, loss_2 = 0.026017427444458008
in epoch 272, loss_2 = 0.0257631354033947
in epoch 273, loss_2 = 0.025628548115491867
in epoch 274, loss_2 = 0.025653701275587082
in epoch 275, loss_2 = 0.02571062371134758
in epoch 276, loss_2 = 0.025640666484832764
in epoch 277, loss_2 = 0.02548716589808464
in epoch 278, loss_2 = 0.02530912682414055
in epoch 279, loss_2 = 0.02520676515996456
