in epoch 0, loss_2 = 0.7693263292312622
in epoch 1, loss_2 = 0.7177843451499939
in epoch 2, loss_2 = 0.6844311952590942
in epoch 3, loss_2 = 0.6636850833892822
in epoch 4, loss_2 = 0.6451518535614014
in epoch 5, loss_2 = 0.6258707046508789
in epoch 6, loss_2 = 0.6063385009765625
in epoch 7, loss_2 = 0.5878817439079285
in epoch 8, loss_2 = 0.57091224193573
in epoch 9, loss_2 = 0.5538408756256104
in epoch 10, loss_2 = 0.5357414484024048
in epoch 11, loss_2 = 0.5173280239105225
in epoch 12, loss_2 = 0.4994242191314697
in epoch 13, loss_2 = 0.48206984996795654
in epoch 14, loss_2 = 0.4657290577888489
in epoch 15, loss_2 = 0.4512554109096527
in epoch 16, loss_2 = 0.4381767213344574
in epoch 17, loss_2 = 0.4250507354736328
in epoch 18, loss_2 = 0.41266924142837524
in epoch 19, loss_2 = 0.4019455909729004
in epoch 20, loss_2 = 0.392417848110199
in epoch 21, loss_2 = 0.38394269347190857
in epoch 22, loss_2 = 0.3765689730644226
in epoch 23, loss_2 = 0.3694937229156494
in epoch 24, loss_2 = 0.3623121678829193
in epoch 25, loss_2 = 0.35525965690612793
in epoch 26, loss_2 = 0.3477111756801605
in epoch 27, loss_2 = 0.3392598032951355
in epoch 28, loss_2 = 0.3300800919532776
in epoch 29, loss_2 = 0.3199614882469177
in epoch 30, loss_2 = 0.30897074937820435
in epoch 31, loss_2 = 0.297141432762146
in epoch 32, loss_2 = 0.28447896242141724
in epoch 33, loss_2 = 0.27110594511032104
in epoch 34, loss_2 = 0.2567439377307892
in epoch 35, loss_2 = 0.24153976142406464
in epoch 36, loss_2 = 0.22629331052303314
in epoch 37, loss_2 = 0.21106736361980438
in epoch 38, loss_2 = 0.19606803357601166
in epoch 39, loss_2 = 0.18167129158973694
in epoch 40, loss_2 = 0.16822904348373413
in epoch 41, loss_2 = 0.15587282180786133
in epoch 42, loss_2 = 0.14493513107299805
in epoch 43, loss_2 = 0.13507872819900513
in epoch 44, loss_2 = 0.12647680938243866
in epoch 45, loss_2 = 0.11876910924911499
in epoch 46, loss_2 = 0.11225801706314087
in epoch 47, loss_2 = 0.1063733696937561
in epoch 48, loss_2 = 0.10146679729223251
in epoch 49, loss_2 = 0.09688689559698105
in epoch 50, loss_2 = 0.09288017451763153
in epoch 51, loss_2 = 0.08926137536764145
in epoch 52, loss_2 = 0.08608013391494751
in epoch 53, loss_2 = 0.08341734111309052
in epoch 54, loss_2 = 0.08088754117488861
in epoch 55, loss_2 = 0.07871546596288681
in epoch 56, loss_2 = 0.0765644758939743
in epoch 57, loss_2 = 0.07475404441356659
in epoch 58, loss_2 = 0.07292797416448593
in epoch 59, loss_2 = 0.07133772224187851
in epoch 60, loss_2 = 0.06975730508565903
in epoch 61, loss_2 = 0.06835965812206268
in epoch 62, loss_2 = 0.06704884767532349
in epoch 63, loss_2 = 0.06579121202230453
in epoch 64, loss_2 = 0.06467972695827484
in epoch 65, loss_2 = 0.06357228755950928
in epoch 66, loss_2 = 0.06256560981273651
in epoch 67, loss_2 = 0.06156693026423454
in epoch 68, loss_2 = 0.06065358966588974
in epoch 69, loss_2 = 0.05979597568511963
in epoch 70, loss_2 = 0.0589522123336792
in epoch 71, loss_2 = 0.058168910443782806
in epoch 72, loss_2 = 0.057383399456739426
in epoch 73, loss_2 = 0.05667736381292343
in epoch 74, loss_2 = 0.0559932217001915
in epoch 75, loss_2 = 0.055359385907649994
in epoch 76, loss_2 = 0.054772138595581055
in epoch 77, loss_2 = 0.05420561879873276
in epoch 78, loss_2 = 0.053678154945373535
in epoch 79, loss_2 = 0.05316339060664177
in epoch 80, loss_2 = 0.0526580810546875
in epoch 81, loss_2 = 0.052181683480739594
in epoch 82, loss_2 = 0.05170895904302597
in epoch 83, loss_2 = 0.05126309394836426
in epoch 84, loss_2 = 0.05083004757761955
in epoch 85, loss_2 = 0.05040165036916733
in epoch 86, loss_2 = 0.04999474808573723
in epoch 87, loss_2 = 0.04960066080093384
in epoch 88, loss_2 = 0.049217820167541504
in epoch 89, loss_2 = 0.04885182902216911
in epoch 90, loss_2 = 0.048494838178157806
in epoch 91, loss_2 = 0.04814799875020981
in epoch 92, loss_2 = 0.04781433194875717
in epoch 93, loss_2 = 0.04749000072479248
in epoch 94, loss_2 = 0.047171276062726974
in epoch 95, loss_2 = 0.0468660406768322
in epoch 96, loss_2 = 0.046567004173994064
in epoch 97, loss_2 = 0.04627325385808945
in epoch 98, loss_2 = 0.04598770663142204
in epoch 99, loss_2 = 0.045709967613220215
in epoch 100, loss_2 = 0.045437417924404144
in epoch 101, loss_2 = 0.045171480625867844
in epoch 102, loss_2 = 0.0449119433760643
in epoch 103, loss_2 = 0.04465727135539055
in epoch 104, loss_2 = 0.0444079264998436
in epoch 105, loss_2 = 0.04416481778025627
in epoch 106, loss_2 = 0.04392731189727783
in epoch 107, loss_2 = 0.043693721294403076
in epoch 108, loss_2 = 0.043464403599500656
in epoch 109, loss_2 = 0.04324009269475937
in epoch 110, loss_2 = 0.0430205874145031
in epoch 111, loss_2 = 0.04280531406402588
in epoch 112, loss_2 = 0.042594313621520996
in epoch 113, loss_2 = 0.042387209832668304
in epoch 114, loss_2 = 0.04218467324972153
in epoch 115, loss_2 = 0.04198640584945679
in epoch 116, loss_2 = 0.041792213916778564
in epoch 117, loss_2 = 0.04160156100988388
in epoch 118, loss_2 = 0.041414737701416016
in epoch 119, loss_2 = 0.0412316732108593
in epoch 120, loss_2 = 0.04105168581008911
in epoch 121, loss_2 = 0.040875017642974854
in epoch 122, loss_2 = 0.04070113226771355
in epoch 123, loss_2 = 0.04053070396184921
in epoch 124, loss_2 = 0.04036325216293335
in epoch 125, loss_2 = 0.04019852727651596
in epoch 126, loss_2 = 0.040036022663116455
in epoch 127, loss_2 = 0.03987596556544304
in epoch 128, loss_2 = 0.03971872851252556
in epoch 129, loss_2 = 0.039563894271850586
in epoch 130, loss_2 = 0.03941134735941887
in epoch 131, loss_2 = 0.03926078602671623
in epoch 132, loss_2 = 0.03911256790161133
in epoch 133, loss_2 = 0.03896645829081535
in epoch 134, loss_2 = 0.03882291167974472
in epoch 135, loss_2 = 0.03868218511343002
in epoch 136, loss_2 = 0.03854330629110336
in epoch 137, loss_2 = 0.038406550884246826
in epoch 138, loss_2 = 0.0382714681327343
in epoch 139, loss_2 = 0.038137953728437424
in epoch 140, loss_2 = 0.03800608962774277
in epoch 141, loss_2 = 0.037875812500715256
in epoch 142, loss_2 = 0.0377475842833519
in epoch 143, loss_2 = 0.03762130066752434
in epoch 144, loss_2 = 0.037497878074645996
in epoch 145, loss_2 = 0.03737926483154297
in epoch 146, loss_2 = 0.03727015107870102
in epoch 147, loss_2 = 0.03718221187591553
in epoch 148, loss_2 = 0.03716224431991577
in epoch 149, loss_2 = 0.03721904754638672
in epoch 150, loss_2 = 0.03745182603597641
in epoch 151, loss_2 = 0.03718644380569458
in epoch 152, loss_2 = 0.03668642044067383
in epoch 153, loss_2 = 0.03651128336787224
in epoch 154, loss_2 = 0.03666102886199951
in epoch 155, loss_2 = 0.0365024209022522
in epoch 156, loss_2 = 0.036153219640254974
in epoch 157, loss_2 = 0.03621266409754753
in epoch 158, loss_2 = 0.03615673631429672
in epoch 159, loss_2 = 0.03585505485534668
in epoch 160, loss_2 = 0.03586189076304436
in epoch 161, loss_2 = 0.03580554574728012
in epoch 162, loss_2 = 0.03556017205119133
in epoch 163, loss_2 = 0.035546284168958664
in epoch 164, loss_2 = 0.03547772020101547
in epoch 165, loss_2 = 0.03527446836233139
in epoch 166, loss_2 = 0.03524935245513916
in epoch 167, loss_2 = 0.035169802606105804
in epoch 168, loss_2 = 0.03499724715948105
in epoch 169, loss_2 = 0.0349651575088501
in epoch 170, loss_2 = 0.034880381077528
in epoch 171, loss_2 = 0.03472981974482536
in epoch 172, loss_2 = 0.03469105809926987
in epoch 173, loss_2 = 0.0346103310585022
in epoch 174, loss_2 = 0.034474097192287445
in epoch 175, loss_2 = 0.03442647308111191
in epoch 176, loss_2 = 0.03435441106557846
in epoch 177, loss_2 = 0.03422816842794418
in epoch 178, loss_2 = 0.03416939824819565
in epoch 179, loss_2 = 0.03410724923014641
in epoch 180, loss_2 = 0.03399119898676872
in epoch 181, loss_2 = 0.03392153978347778
in epoch 182, loss_2 = 0.033866189420223236
in epoch 183, loss_2 = 0.03376215696334839
in epoch 184, loss_2 = 0.03368320316076279
in epoch 185, loss_2 = 0.033629439771175385
in epoch 186, loss_2 = 0.03354152292013168
in epoch 187, loss_2 = 0.03345569223165512
in epoch 188, loss_2 = 0.03339439630508423
in epoch 189, loss_2 = 0.03332487866282463
in epoch 190, loss_2 = 0.03324202820658684
in epoch 191, loss_2 = 0.03317026421427727
in epoch 192, loss_2 = 0.033109407871961594
in epoch 193, loss_2 = 0.03303774446249008
in epoch 194, loss_2 = 0.03296077251434326
