in epoch 0, loss = 2.2994422912597656, loss_1: 0.7250089645385742
in epoch 1, loss = 2.11938214302063, loss_1: 0.645243763923645
in epoch 2, loss = 2.046567440032959, loss_1: 0.6042768955230713
in epoch 3, loss = 1.860835313796997, loss_1: 0.5627619028091431
in epoch 4, loss = 1.6900403499603271, loss_1: 0.5002350807189941
in epoch 5, loss = 1.6028201580047607, loss_1: 0.47928905487060547
in epoch 6, loss = 1.502270221710205, loss_1: 0.4509451389312744
in epoch 7, loss = 1.4269943237304688, loss_1: 0.4389744997024536
in epoch 8, loss = 1.4248135089874268, loss_1: 0.4336642920970917
in epoch 9, loss = 1.3697034120559692, loss_1: 0.4304283559322357
in epoch 10, loss = 1.340408205986023, loss_1: 0.42557334899902344
in epoch 11, loss = 1.3109550476074219, loss_1: 0.41573724150657654
in epoch 12, loss = 1.2976144552230835, loss_1: 0.4234849810600281
in epoch 13, loss = 1.2814648151397705, loss_1: 0.4136936068534851
in epoch 14, loss = 1.2894455194473267, loss_1: 0.4198846220970154
in epoch 15, loss = 1.2656009197235107, loss_1: 0.41882872581481934
in epoch 16, loss = 1.2673567533493042, loss_1: 0.4129813611507416
in epoch 17, loss = 1.2517473697662354, loss_1: 0.412942111492157
in epoch 18, loss = 1.2430613040924072, loss_1: 0.4065536856651306
in epoch 19, loss = 1.2371776103973389, loss_1: 0.4022253453731537
in epoch 20, loss = 1.2262938022613525, loss_1: 0.39987343549728394
in epoch 21, loss = 1.2192344665527344, loss_1: 0.3961348533630371
in epoch 22, loss = 1.2128186225891113, loss_1: 0.3898528516292572
in epoch 23, loss = 1.1992442607879639, loss_1: 0.3843810260295868
in epoch 24, loss = 1.1883299350738525, loss_1: 0.37531763315200806
in epoch 25, loss = 1.171771764755249, loss_1: 0.36200761795043945
in epoch 26, loss = 1.1438608169555664, loss_1: 0.3392738997936249
in epoch 27, loss = 1.1058681011199951, loss_1: 0.3006643056869507
in epoch 28, loss = 1.082795262336731, loss_1: 0.27834421396255493
in epoch 29, loss = 1.0356874465942383, loss_1: 0.2340438812971115
in epoch 30, loss = 1.048170804977417, loss_1: 0.2531260848045349
in epoch 31, loss = 1.0588818788528442, loss_1: 0.2618696689605713
in epoch 32, loss = 1.1370962858200073, loss_1: 0.31976428627967834
in epoch 33, loss = 1.146668791770935, loss_1: 0.34370630979537964
in epoch 34, loss = 1.1517348289489746, loss_1: 0.35336971282958984
in epoch 35, loss = 1.1363143920898438, loss_1: 0.3287927806377411
in epoch 36, loss = 1.1017346382141113, loss_1: 0.29215675592422485
in epoch 37, loss = 1.0090892314910889, loss_1: 0.20506054162979126
in epoch 38, loss = 1.0091509819030762, loss_1: 0.20064499974250793
in epoch 39, loss = 0.9656236171722412, loss_1: 0.16786491870880127
in epoch 40, loss = 0.9607048630714417, loss_1: 0.16550397872924805
in epoch 41, loss = 0.9346712827682495, loss_1: 0.14388364553451538
in epoch 42, loss = 0.9378088116645813, loss_1: 0.12837755680084229
in epoch 43, loss = 0.9183387160301208, loss_1: 0.11727963387966156
in epoch 44, loss = 0.9011213779449463, loss_1: 0.11568935960531235
in epoch 45, loss = 0.8890253305435181, loss_1: 0.10866932570934296
in epoch 46, loss = 0.8744744062423706, loss_1: 0.09989838302135468
in epoch 47, loss = 0.8699129223823547, loss_1: 0.0973789319396019
in epoch 48, loss = 0.8567636609077454, loss_1: 0.09204016625881195
in epoch 49, loss = 0.8493757247924805, loss_1: 0.08675500005483627
in epoch 50, loss = 0.8437134027481079, loss_1: 0.08243124186992645
in epoch 51, loss = 0.831688404083252, loss_1: 0.07972483336925507
in epoch 52, loss = 0.828457236289978, loss_1: 0.07943876832723618
in epoch 53, loss = 0.8224215507507324, loss_1: 0.07561920583248138
in epoch 54, loss = 0.8183028101921082, loss_1: 0.07346916198730469
in epoch 55, loss = 0.8111861944198608, loss_1: 0.0709267258644104
in epoch 56, loss = 0.8071072101593018, loss_1: 0.06926026195287704
in epoch 57, loss = 0.8025453090667725, loss_1: 0.06849696487188339
in epoch 58, loss = 0.797808051109314, loss_1: 0.06575392186641693
in epoch 59, loss = 0.7947481274604797, loss_1: 0.06499384343624115
in epoch 60, loss = 0.7915067672729492, loss_1: 0.0632096379995346
in epoch 61, loss = 0.7895411252975464, loss_1: 0.062055788934230804
in epoch 62, loss = 0.7856868505477905, loss_1: 0.0604630708694458
in epoch 63, loss = 0.7835325002670288, loss_1: 0.05998406931757927
in epoch 64, loss = 0.7806061506271362, loss_1: 0.0587121844291687
in epoch 65, loss = 0.7783570289611816, loss_1: 0.057917337864637375
in epoch 66, loss = 0.7760408520698547, loss_1: 0.05642968416213989
in epoch 67, loss = 0.7737226486206055, loss_1: 0.055803220719099045
in epoch 68, loss = 0.7719149589538574, loss_1: 0.05509553477168083
in epoch 69, loss = 0.7687379121780396, loss_1: 0.05441538617014885
in epoch 70, loss = 0.7662860155105591, loss_1: 0.05368312448263168
in epoch 71, loss = 0.762539267539978, loss_1: 0.052621643990278244
in epoch 72, loss = 0.7581595182418823, loss_1: 0.05162521451711655
in epoch 73, loss = 0.7528951168060303, loss_1: 0.05169228836894035
in epoch 74, loss = 0.7417153120040894, loss_1: 0.050819795578718185
in epoch 75, loss = 0.7178820371627808, loss_1: 0.050423942506313324
in epoch 76, loss = 0.7087826132774353, loss_1: 0.051135044544935226
in epoch 77, loss = 0.7886639833450317, loss_1: 0.06164775416254997
in epoch 78, loss = 0.8224092721939087, loss_1: 0.07186268270015717
in epoch 79, loss = 0.800356388092041, loss_1: 0.06954620778560638
in epoch 80, loss = 0.7672549486160278, loss_1: 0.06060516834259033
in epoch 81, loss = 0.7240099906921387, loss_1: 0.07958217710256577
in epoch 82, loss = 0.6797506213188171, loss_1: 0.05555490776896477
in epoch 83, loss = 0.6568906307220459, loss_1: 0.06917411088943481
in epoch 84, loss = 0.5867472887039185, loss_1: 0.05667213723063469
in epoch 85, loss = 0.5770437717437744, loss_1: 0.05595888942480087
in epoch 86, loss = 0.5395432710647583, loss_1: 0.07535495609045029
in epoch 87, loss = 0.5110884308815002, loss_1: 0.054218731820583344
in epoch 88, loss = 0.4922807216644287, loss_1: 0.05808601900935173
in epoch 89, loss = 0.5053368210792542, loss_1: 0.06076451390981674
in epoch 90, loss = 0.5013551115989685, loss_1: 0.05870779603719711
in epoch 91, loss = 0.5172724723815918, loss_1: 0.060840390622615814
in epoch 92, loss = 0.4790237843990326, loss_1: 0.05829211324453354
in epoch 93, loss = 0.5530311465263367, loss_1: 0.05805591866374016
in epoch 94, loss = 0.47264641523361206, loss_1: 0.054127536714076996
in epoch 95, loss = 0.4978526830673218, loss_1: 0.05865935608744621
in epoch 96, loss = 0.4633910059928894, loss_1: 0.05579398199915886
in epoch 97, loss = 0.4561767578125, loss_1: 0.05725165456533432
in epoch 98, loss = 0.4608220160007477, loss_1: 0.06192493438720703
in epoch 99, loss = 0.45234304666519165, loss_1: 0.05337856337428093
in epoch 100, loss = 0.43822798132896423, loss_1: 0.057035546749830246
in epoch 101, loss = 0.4449884295463562, loss_1: 0.05738919973373413
in epoch 102, loss = 0.4205285608768463, loss_1: 0.05176468938589096
in epoch 103, loss = 0.42682504653930664, loss_1: 0.05163339897990227
in epoch 104, loss = 0.4175480008125305, loss_1: 0.052097778767347336
in epoch 105, loss = 0.41410815715789795, loss_1: 0.05103147029876709
in epoch 106, loss = 0.4074394702911377, loss_1: 0.04772597551345825
in epoch 107, loss = 0.4034256339073181, loss_1: 0.049365900456905365
in epoch 108, loss = 0.39794009923934937, loss_1: 0.049849770963191986
in epoch 109, loss = 0.38810646533966064, loss_1: 0.04671436548233032
in epoch 110, loss = 0.3910840153694153, loss_1: 0.04723439738154411
in epoch 111, loss = 0.3816912770271301, loss_1: 0.04876226186752319
in epoch 112, loss = 0.37845322489738464, loss_1: 0.04632759094238281
in epoch 113, loss = 0.37338805198669434, loss_1: 0.04635600373148918
in epoch 114, loss = 0.3722582757472992, loss_1: 0.04544645547866821
in epoch 115, loss = 0.36562296748161316, loss_1: 0.04525715112686157
in epoch 116, loss = 0.3617947995662689, loss_1: 0.0457405261695385
in epoch 117, loss = 0.3671666383743286, loss_1: 0.0453980378806591
in epoch 118, loss = 0.3539453148841858, loss_1: 0.04502096027135849
in epoch 119, loss = 0.3492787182331085, loss_1: 0.04517972469329834
in epoch 120, loss = 0.34754031896591187, loss_1: 0.0447106771171093
in epoch 121, loss = 0.3482348322868347, loss_1: 0.04481196403503418
in epoch 122, loss = 0.34997469186782837, loss_1: 0.044697701930999756
in epoch 123, loss = 0.3522759675979614, loss_1: 0.045525770634412766
in epoch 124, loss = 0.3505670130252838, loss_1: 0.04487788677215576
in epoch 125, loss = 0.3476638197898865, loss_1: 0.04442135617136955
in epoch 126, loss = 0.3335317075252533, loss_1: 0.04532057046890259
in epoch 127, loss = 0.3304162323474884, loss_1: 0.04341733455657959
in epoch 128, loss = 0.3306691348552704, loss_1: 0.04342738911509514
in epoch 129, loss = 0.3427305221557617, loss_1: 0.0432986244559288
in epoch 130, loss = 0.3272477388381958, loss_1: 0.04299881309270859
in epoch 131, loss = 0.3359496593475342, loss_1: 0.043802957981824875
in epoch 132, loss = 0.3559480905532837, loss_1: 0.04657413810491562
in epoch 133, loss = 0.32277926802635193, loss_1: 0.043690286576747894
in epoch 134, loss = 0.3194734454154968, loss_1: 0.04323331639170647
in epoch 135, loss = 0.33677592873573303, loss_1: 0.04251686856150627
in epoch 136, loss = 0.3101905882358551, loss_1: 0.042991600930690765
in epoch 137, loss = 0.3357870578765869, loss_1: 0.04288947582244873
in epoch 138, loss = 0.34072789549827576, loss_1: 0.04318314790725708
in epoch 139, loss = 0.3176661729812622, loss_1: 0.04189543053507805
in epoch 140, loss = 0.3439333438873291, loss_1: 0.044452350586652756
in epoch 141, loss = 0.30577751994132996, loss_1: 0.04239567369222641
in epoch 142, loss = 0.3255387544631958, loss_1: 0.04391167685389519
in epoch 143, loss = 0.30640530586242676, loss_1: 0.04390464350581169
in epoch 144, loss = 0.3197568953037262, loss_1: 0.04103318974375725
in epoch 145, loss = 0.3086082339286804, loss_1: 0.04132654517889023
in epoch 146, loss = 0.3074018359184265, loss_1: 0.04122936725616455
in epoch 147, loss = 0.3032391369342804, loss_1: 0.04116511344909668
in epoch 148, loss = 0.301033079624176, loss_1: 0.0405406579375267
in epoch 149, loss = 0.302743136882782, loss_1: 0.04165007919073105
in epoch 150, loss = 0.2991049289703369, loss_1: 0.04046148061752319
in epoch 151, loss = 0.3012468218803406, loss_1: 0.0405227355659008
in epoch 152, loss = 0.30170848965644836, loss_1: 0.039775215089321136
in epoch 153, loss = 0.30186736583709717, loss_1: 0.040499769151210785
in epoch 154, loss = 0.2959442734718323, loss_1: 0.039754610508680344
in epoch 155, loss = 0.2905391752719879, loss_1: 0.03961513563990593
in epoch 156, loss = 0.2885492444038391, loss_1: 0.039131563156843185
in epoch 157, loss = 0.2896311283111572, loss_1: 0.039766352623701096
in epoch 158, loss = 0.2875801622867584, loss_1: 0.038909636437892914
in epoch 159, loss = 0.2964823246002197, loss_1: 0.03944119065999985
in epoch 160, loss = 0.3044916093349457, loss_1: 0.03946683928370476
in epoch 161, loss = 0.31481462717056274, loss_1: 0.041654013097286224
in epoch 162, loss = 0.29649433493614197, loss_1: 0.03916718810796738
in epoch 163, loss = 0.2817850112915039, loss_1: 0.038338422775268555
in epoch 164, loss = 0.28253042697906494, loss_1: 0.03863313049077988
