in epoch 0, loss = 2.316284656524658, loss_1: 0.7499985098838806
in epoch 1, loss = 2.25331711769104, loss_1: 0.748631477355957
in epoch 2, loss = 2.017845630645752, loss_1: 0.6348510384559631
in epoch 3, loss = 1.8453298807144165, loss_1: 0.5733058452606201
in epoch 4, loss = 1.680314302444458, loss_1: 0.5166869163513184
in epoch 5, loss = 1.576168417930603, loss_1: 0.4904171824455261
in epoch 6, loss = 1.5311412811279297, loss_1: 0.45971593260765076
in epoch 7, loss = 1.445611596107483, loss_1: 0.43819987773895264
in epoch 8, loss = 1.392362356185913, loss_1: 0.41526830196380615
in epoch 9, loss = 1.3382209539413452, loss_1: 0.41431140899658203
in epoch 10, loss = 1.3251487016677856, loss_1: 0.3990684449672699
in epoch 11, loss = 1.3160934448242188, loss_1: 0.39873719215393066
in epoch 12, loss = 1.27167809009552, loss_1: 0.3904826045036316
in epoch 13, loss = 1.251019835472107, loss_1: 0.389812707901001
in epoch 14, loss = 1.243776798248291, loss_1: 0.37905120849609375
in epoch 15, loss = 1.2369765043258667, loss_1: 0.3766893744468689
in epoch 16, loss = 1.2265352010726929, loss_1: 0.37550681829452515
in epoch 17, loss = 1.214971661567688, loss_1: 0.37380123138427734
in epoch 18, loss = 1.2056814432144165, loss_1: 0.3723702132701874
in epoch 19, loss = 1.200671672821045, loss_1: 0.37059396505355835
in epoch 20, loss = 1.193725347518921, loss_1: 0.3696098327636719
in epoch 21, loss = 1.1840569972991943, loss_1: 0.36862263083457947
in epoch 22, loss = 1.1797316074371338, loss_1: 0.3688848912715912
in epoch 23, loss = 1.1736646890640259, loss_1: 0.3684178292751312
in epoch 24, loss = 1.1632354259490967, loss_1: 0.3673684000968933
in epoch 25, loss = 1.1546850204467773, loss_1: 0.3658379912376404
in epoch 26, loss = 1.1490478515625, loss_1: 0.36515021324157715
in epoch 27, loss = 1.1457324028015137, loss_1: 0.36475691199302673
in epoch 28, loss = 1.1433197259902954, loss_1: 0.3648678958415985
in epoch 29, loss = 1.140812873840332, loss_1: 0.3649113178253174
in epoch 30, loss = 1.1376218795776367, loss_1: 0.3639833331108093
in epoch 31, loss = 1.1342058181762695, loss_1: 0.3633244037628174
in epoch 32, loss = 1.1307833194732666, loss_1: 0.3628849387168884
in epoch 33, loss = 1.128035068511963, loss_1: 0.36238405108451843
in epoch 34, loss = 1.1248975992202759, loss_1: 0.361865758895874
in epoch 35, loss = 1.1214194297790527, loss_1: 0.36125215888023376
in epoch 36, loss = 1.1185729503631592, loss_1: 0.36061200499534607
in epoch 37, loss = 1.115359902381897, loss_1: 0.3599376082420349
in epoch 38, loss = 1.1123098134994507, loss_1: 0.35934290289878845
in epoch 39, loss = 1.1096950769424438, loss_1: 0.3588237762451172
in epoch 40, loss = 1.1066642999649048, loss_1: 0.35827207565307617
in epoch 41, loss = 1.103915810585022, loss_1: 0.3578356206417084
in epoch 42, loss = 1.1012189388275146, loss_1: 0.3575175404548645
in epoch 43, loss = 1.098487138748169, loss_1: 0.35714420676231384
in epoch 44, loss = 1.0960098505020142, loss_1: 0.35675716400146484
in epoch 45, loss = 1.0931897163391113, loss_1: 0.3562050759792328
in epoch 46, loss = 1.0904921293258667, loss_1: 0.3556291460990906
in epoch 47, loss = 1.0880388021469116, loss_1: 0.3550434112548828
in epoch 48, loss = 1.0853251218795776, loss_1: 0.35436147451400757
in epoch 49, loss = 1.0826200246810913, loss_1: 0.35359716415405273
in epoch 50, loss = 1.0799217224121094, loss_1: 0.3527708053588867
in epoch 51, loss = 1.077117919921875, loss_1: 0.3517705798149109
in epoch 52, loss = 1.0742989778518677, loss_1: 0.3506185710430145
in epoch 53, loss = 1.0712226629257202, loss_1: 0.3491304814815521
in epoch 54, loss = 1.068031907081604, loss_1: 0.34748178720474243
in epoch 55, loss = 1.0645208358764648, loss_1: 0.3454817235469818
in epoch 56, loss = 1.0603607892990112, loss_1: 0.34278854727745056
