in epoch 0, loss = 2.30322265625, loss_1: 0.7249848246574402, loss_2: 0.7953076362609863
in epoch 1, loss = 2.22186279296875, loss_1: 0.59965580701828, loss_2: 0.8397981524467468
in epoch 2, loss = 2.0157437324523926, loss_1: 0.5156428217887878, loss_2: 0.7972216606140137
in epoch 3, loss = 1.8818776607513428, loss_1: 0.4659937620162964, loss_2: 0.7419031858444214
in epoch 4, loss = 1.7090258598327637, loss_1: 0.43107056617736816, loss_2: 0.6668326258659363
in epoch 5, loss = 1.5841742753982544, loss_1: 0.39967817068099976, loss_2: 0.6029988527297974
in epoch 6, loss = 1.4926862716674805, loss_1: 0.37950628995895386, loss_2: 0.5707460641860962
in epoch 7, loss = 1.3893029689788818, loss_1: 0.3402247130870819, loss_2: 0.5225376486778259
in epoch 8, loss = 1.2829465866088867, loss_1: 0.2916432321071625, loss_2: 0.49229249358177185
in epoch 9, loss = 1.2077640295028687, loss_1: 0.25596678256988525, loss_2: 0.4691804051399231
in epoch 10, loss = 1.1703203916549683, loss_1: 0.24922893941402435, loss_2: 0.4547489583492279
in epoch 11, loss = 1.18222975730896, loss_1: 0.275799036026001, loss_2: 0.4504990577697754
in epoch 12, loss = 1.2067351341247559, loss_1: 0.25174659490585327, loss_2: 0.44866085052490234
in epoch 13, loss = 1.2162026166915894, loss_1: 0.27545973658561707, loss_2: 0.4439317584037781
in epoch 14, loss = 1.0758006572723389, loss_1: 0.19547638297080994, loss_2: 0.4305034279823303
in epoch 15, loss = 1.1287128925323486, loss_1: 0.23777352273464203, loss_2: 0.44032782316207886
in epoch 16, loss = 1.0790328979492188, loss_1: 0.2142048180103302, loss_2: 0.4240497946739197
in epoch 17, loss = 1.0593526363372803, loss_1: 0.2002461850643158, loss_2: 0.42319056391716003
in epoch 18, loss = 1.0607211589813232, loss_1: 0.2055160105228424, loss_2: 0.41932451725006104
in epoch 19, loss = 1.0070762634277344, loss_1: 0.15747910737991333, loss_2: 0.4155387878417969
in epoch 20, loss = 1.0057953596115112, loss_1: 0.16572800278663635, loss_2: 0.4093037545681
in epoch 21, loss = 0.9424102306365967, loss_1: 0.11523537337779999, loss_2: 0.4016411304473877
in epoch 22, loss = 0.9450538158416748, loss_1: 0.1293540596961975, loss_2: 0.396735280752182
in epoch 23, loss = 0.9192048907279968, loss_1: 0.11326058954000473, loss_2: 0.39393743872642517
in epoch 24, loss = 0.9109774231910706, loss_1: 0.10403329133987427, loss_2: 0.39534497261047363
in epoch 25, loss = 0.8995977640151978, loss_1: 0.09992873668670654, loss_2: 0.39267730712890625
in epoch 26, loss = 0.8793225288391113, loss_1: 0.08772393316030502, loss_2: 0.3914278447628021
in epoch 27, loss = 0.8741148114204407, loss_1: 0.08749119937419891, loss_2: 0.38895031809806824
in epoch 28, loss = 0.8664515614509583, loss_1: 0.08389656245708466, loss_2: 0.3880535066127777
in epoch 29, loss = 0.8540283441543579, loss_1: 0.0772559866309166, loss_2: 0.3855873942375183
in epoch 30, loss = 0.8481205701828003, loss_1: 0.07677119970321655, loss_2: 0.3815661072731018
in epoch 31, loss = 0.8402727246284485, loss_1: 0.07400014251470566, loss_2: 0.3788529336452484
in epoch 32, loss = 0.831584095954895, loss_1: 0.07084157317876816, loss_2: 0.37621045112609863
in epoch 33, loss = 0.8269290924072266, loss_1: 0.0698544979095459, loss_2: 0.3732141852378845
in epoch 34, loss = 0.8243364095687866, loss_1: 0.06991889327764511, loss_2: 0.371340274810791
in epoch 35, loss = 0.8200473785400391, loss_1: 0.06951062381267548, loss_2: 0.37080878019332886
in epoch 36, loss = 0.8152350187301636, loss_1: 0.06769603490829468, loss_2: 0.37052100896835327
