in epoch 0, loss = 2.220759391784668, loss_1: 0.7141637802124023
in epoch 1, loss = 2.156670570373535, loss_1: 0.6432697176933289
in epoch 2, loss = 2.047011613845825, loss_1: 0.6246578097343445
in epoch 3, loss = 1.8709226846694946, loss_1: 0.5445200800895691
in epoch 4, loss = 1.687671422958374, loss_1: 0.48607486486434937
in epoch 5, loss = 1.6039707660675049, loss_1: 0.4593885838985443
in epoch 6, loss = 1.5320310592651367, loss_1: 0.4384196400642395
in epoch 7, loss = 1.4967596530914307, loss_1: 0.45509204268455505
in epoch 8, loss = 1.430688500404358, loss_1: 0.4444260597229004
in epoch 9, loss = 1.3959928750991821, loss_1: 0.4474143981933594
in epoch 10, loss = 1.326735258102417, loss_1: 0.41190648078918457
in epoch 11, loss = 1.2936137914657593, loss_1: 0.41000863909721375
in epoch 12, loss = 1.2712628841400146, loss_1: 0.40046676993370056
in epoch 13, loss = 1.2502435445785522, loss_1: 0.3917172849178314
in epoch 14, loss = 1.232803225517273, loss_1: 0.39213594794273376
in epoch 15, loss = 1.205758810043335, loss_1: 0.37832340598106384
in epoch 16, loss = 1.1899077892303467, loss_1: 0.37514838576316833
in epoch 17, loss = 1.1817588806152344, loss_1: 0.37344735860824585
in epoch 18, loss = 1.1693456172943115, loss_1: 0.37140488624572754
in epoch 19, loss = 1.161858081817627, loss_1: 0.36958417296409607
in epoch 20, loss = 1.1547324657440186, loss_1: 0.3676243722438812
in epoch 21, loss = 1.149261236190796, loss_1: 0.3661433160305023
in epoch 22, loss = 1.1443899869918823, loss_1: 0.3647962510585785
in epoch 23, loss = 1.1379344463348389, loss_1: 0.3633652627468109
in epoch 24, loss = 1.1341201066970825, loss_1: 0.3624994456768036
in epoch 25, loss = 1.1296595335006714, loss_1: 0.3618079125881195
in epoch 26, loss = 1.1277039051055908, loss_1: 0.3617479205131531
in epoch 27, loss = 1.1242573261260986, loss_1: 0.36081212759017944
in epoch 28, loss = 1.1211261749267578, loss_1: 0.3607366979122162
