in epoch 0, loss = 0.7412800192832947
in epoch 1, loss = 0.7090619802474976
in epoch 2, loss = 0.6170713901519775
in epoch 3, loss = 0.6569383144378662
in epoch 4, loss = 0.6205281019210815
in epoch 5, loss = 0.5491610765457153
in epoch 6, loss = 0.5071298480033875
in epoch 7, loss = 0.46310481429100037
in epoch 8, loss = 0.42416462302207947
in epoch 9, loss = 0.41642236709594727
in epoch 10, loss = 0.3953869938850403
in epoch 11, loss = 0.3919644355773926
in epoch 12, loss = 0.3775448501110077
in epoch 13, loss = 0.3605756163597107
in epoch 14, loss = 0.3531251549720764
in epoch 15, loss = 0.3712294101715088
in epoch 16, loss = 0.3740084171295166
in epoch 17, loss = 0.3677601218223572
in epoch 18, loss = 0.36517995595932007
in epoch 19, loss = 0.3593597412109375
in epoch 20, loss = 0.33948367834091187
in epoch 21, loss = 0.3233184814453125
in epoch 22, loss = 0.3229718804359436
in epoch 23, loss = 0.3194162845611572
in epoch 24, loss = 0.3173358142375946
in epoch 25, loss = 0.3028819262981415
in epoch 26, loss = 0.27904725074768066
in epoch 27, loss = 0.2638973593711853
in epoch 28, loss = 0.2686227560043335
in epoch 29, loss = 0.2403089851140976
in epoch 30, loss = 0.25832271575927734
in epoch 31, loss = 0.19632647931575775
in epoch 32, loss = 0.18717223405838013
in epoch 33, loss = 0.1684797704219818
in epoch 34, loss = 0.2652515769004822
