in epoch 0, loss = 2.2675490379333496, loss_1: 0.7634528875350952, loss_2: 0.7580344080924988, loss_4: 0.7460619211196899
in epoch 1, loss = 2.2480244636535645, loss_1: 0.7157636880874634, loss_2: 0.7474017143249512, loss_4: 0.7848590612411499
in epoch 2, loss = 2.0639188289642334, loss_1: 0.6690279841423035, loss_2: 0.7318970561027527, loss_4: 0.6629937887191772
in epoch 3, loss = 1.948243498802185, loss_1: 0.6291552782058716, loss_2: 0.6908769011497498, loss_4: 0.628211259841919
in epoch 4, loss = 1.845758318901062, loss_1: 0.6147807836532593, loss_2: 0.6620907783508301, loss_4: 0.5688868165016174
in epoch 5, loss = 1.7253268957138062, loss_1: 0.5833350419998169, loss_2: 0.6315598487854004, loss_4: 0.5104320049285889
in epoch 6, loss = 1.6296870708465576, loss_1: 0.536521852016449, loss_2: 0.596236526966095, loss_4: 0.49692869186401367
in epoch 7, loss = 1.5561543703079224, loss_1: 0.4963192939758301, loss_2: 0.5716500878334045, loss_4: 0.48818501830101013
in epoch 8, loss = 1.4874948263168335, loss_1: 0.4654073715209961, loss_2: 0.5504642128944397, loss_4: 0.4716232717037201
in epoch 9, loss = 1.4373364448547363, loss_1: 0.4480326771736145, loss_2: 0.5301287174224854, loss_4: 0.4591750502586365
in epoch 10, loss = 1.3997962474822998, loss_1: 0.43482300639152527, loss_2: 0.5154648423194885, loss_4: 0.449508398771286
in epoch 11, loss = 1.3585814237594604, loss_1: 0.4204690456390381, loss_2: 0.49685782194137573, loss_4: 0.44125455617904663
in epoch 12, loss = 1.3258179426193237, loss_1: 0.42109787464141846, loss_2: 0.46982336044311523, loss_4: 0.43489670753479004
in epoch 13, loss = 1.299302101135254, loss_1: 0.4143933653831482, loss_2: 0.455335795879364, loss_4: 0.4295728802680969
in epoch 14, loss = 1.2748830318450928, loss_1: 0.41450628638267517, loss_2: 0.43505844473838806, loss_4: 0.42531833052635193
in epoch 15, loss = 1.2585424184799194, loss_1: 0.40070590376853943, loss_2: 0.4348643720149994, loss_4: 0.422972172498703
in epoch 16, loss = 1.2310861349105835, loss_1: 0.3901415765285492, loss_2: 0.4212794005870819, loss_4: 0.4196650981903076
in epoch 17, loss = 1.2269322872161865, loss_1: 0.3897155225276947, loss_2: 0.42127808928489685, loss_4: 0.4159386157989502
in epoch 18, loss = 1.2189598083496094, loss_1: 0.38854798674583435, loss_2: 0.41731977462768555, loss_4: 0.41309207677841187
in epoch 19, loss = 1.2025319337844849, loss_1: 0.3819452226161957, loss_2: 0.4104158282279968, loss_4: 0.41017091274261475
in epoch 20, loss = 1.1937544345855713, loss_1: 0.3802468180656433, loss_2: 0.4062541425228119, loss_4: 0.4072535037994385
in epoch 21, loss = 1.187738060951233, loss_1: 0.37972161173820496, loss_2: 0.40378159284591675, loss_4: 0.4042348861694336
in epoch 22, loss = 1.1764311790466309, loss_1: 0.3769739270210266, loss_2: 0.39866241812705994, loss_4: 0.4007948338985443
in epoch 23, loss = 1.1659446954727173, loss_1: 0.37293076515197754, loss_2: 0.39589977264404297, loss_4: 0.3971141278743744
in epoch 24, loss = 1.1781384944915771, loss_1: 0.3896259665489197, loss_2: 0.39439520239830017, loss_4: 0.39411741495132446
in epoch 25, loss = 1.1582330465316772, loss_1: 0.3734450340270996, loss_2: 0.39310526847839355, loss_4: 0.3916827142238617
in epoch 26, loss = 1.1573140621185303, loss_1: 0.37685126066207886, loss_2: 0.3893154263496399, loss_4: 0.39114731550216675
in epoch 27, loss = 1.160684585571289, loss_1: 0.37624257802963257, loss_2: 0.3881521224975586, loss_4: 0.39628979563713074
in epoch 28, loss = 1.1467453241348267, loss_1: 0.3736742436885834, loss_2: 0.38828057050704956, loss_4: 0.3847905099391937
in epoch 29, loss = 1.1413308382034302, loss_1: 0.37271714210510254, loss_2: 0.38440021872520447, loss_4: 0.3842134475708008
in epoch 30, loss = 1.1478925943374634, loss_1: 0.37285158038139343, loss_2: 0.3847084939479828, loss_4: 0.39033252000808716
in epoch 31, loss = 1.1346473693847656, loss_1: 0.37316131591796875, loss_2: 0.38278886675834656, loss_4: 0.37869715690612793
in epoch 32, loss = 1.1436229944229126, loss_1: 0.3730885684490204, loss_2: 0.37867653369903564, loss_4: 0.3918578624725342
in epoch 33, loss = 1.1238207817077637, loss_1: 0.370888888835907, loss_2: 0.37658581137657166, loss_4: 0.3763461709022522
in epoch 34, loss = 1.1263275146484375, loss_1: 0.3690272271633148, loss_2: 0.3752044141292572, loss_4: 0.3820958137512207
in epoch 35, loss = 1.113992691040039, loss_1: 0.3687424063682556, loss_2: 0.3724740445613861, loss_4: 0.37277621030807495
in epoch 36, loss = 1.1179382801055908, loss_1: 0.3688763976097107, loss_2: 0.36968082189559937, loss_4: 0.37938106060028076
in epoch 37, loss = 1.1064162254333496, loss_1: 0.36803579330444336, loss_2: 0.3681579828262329, loss_4: 0.3702225089073181
in epoch 38, loss = 1.1041226387023926, loss_1: 0.3656284809112549, loss_2: 0.3662366271018982, loss_4: 0.3722574710845947
in epoch 39, loss = 1.0972124338150024, loss_1: 0.36404141783714294, loss_2: 0.3639415502548218, loss_4: 0.36922940611839294
in epoch 40, loss = 1.0979089736938477, loss_1: 0.36394843459129333, loss_2: 0.3622497022151947, loss_4: 0.37171077728271484
in epoch 41, loss = 1.0916438102722168, loss_1: 0.3618503510951996, loss_2: 0.35970354080200195, loss_4: 0.37008994817733765
in epoch 42, loss = 1.0890779495239258, loss_1: 0.36017918586730957, loss_2: 0.3579750061035156, loss_4: 0.3709236979484558
in epoch 43, loss = 1.0819745063781738, loss_1: 0.3593410849571228, loss_2: 0.35490545630455017, loss_4: 0.36772799491882324
in epoch 44, loss = 1.0813182592391968, loss_1: 0.3579643964767456, loss_2: 0.3534886837005615, loss_4: 0.36986517906188965
in epoch 45, loss = 1.0749626159667969, loss_1: 0.3560902774333954, loss_2: 0.35247355699539185, loss_4: 0.36639875173568726
in epoch 46, loss = 1.0725514888763428, loss_1: 0.3543807864189148, loss_2: 0.3505006730556488, loss_4: 0.367669939994812
in epoch 47, loss = 1.0665841102600098, loss_1: 0.3522552251815796, loss_2: 0.3487815856933594, loss_4: 0.3655472695827484
in epoch 48, loss = 1.0617730617523193, loss_1: 0.3490336537361145, loss_2: 0.3462304472923279, loss_4: 0.36650893092155457
in epoch 49, loss = 1.0535129308700562, loss_1: 0.34497547149658203, loss_2: 0.3436989188194275, loss_4: 0.36483854055404663
in epoch 50, loss = 1.043396234512329, loss_1: 0.33924782276153564, loss_2: 0.34044021368026733, loss_4: 0.3637082576751709
in epoch 51, loss = 1.0273633003234863, loss_1: 0.3297807574272156, loss_2: 0.33413586020469666, loss_4: 0.3634466528892517
in epoch 52, loss = 0.9946051836013794, loss_1: 0.3070414662361145, loss_2: 0.3244057297706604, loss_4: 0.3631579875946045
in epoch 53, loss = 0.9395617246627808, loss_1: 0.2727469205856323, loss_2: 0.30252605676651, loss_4: 0.3642887771129608
in epoch 54, loss = 0.8846012949943542, loss_1: 0.22194474935531616, loss_2: 0.3000324070453644, loss_4: 0.3626241683959961
in epoch 55, loss = 0.8698331713676453, loss_1: 0.22533315420150757, loss_2: 0.2823171317577362, loss_4: 0.3621828556060791
in epoch 56, loss = 0.8425279855728149, loss_1: 0.20809301733970642, loss_2: 0.27070409059524536, loss_4: 0.36373084783554077
in epoch 57, loss = 0.8739746809005737, loss_1: 0.23189297318458557, loss_2: 0.276143878698349, loss_4: 0.3659377992153168
in epoch 58, loss = 0.8690687417984009, loss_1: 0.17944632470607758, loss_2: 0.3203294277191162, loss_4: 0.3692929744720459
in epoch 59, loss = 0.8817505240440369, loss_1: 0.2158147692680359, loss_2: 0.28468891978263855, loss_4: 0.38124680519104004
in epoch 60, loss = 0.8499348163604736, loss_1: 0.19336055219173431, loss_2: 0.2770277261734009, loss_4: 0.37954649329185486
in epoch 61, loss = 0.7927190065383911, loss_1: 0.15151992440223694, loss_2: 0.26486024260520935, loss_4: 0.3763388395309448
in epoch 62, loss = 0.8565924167633057, loss_1: 0.18178759515285492, loss_2: 0.3060445785522461, loss_4: 0.36876019835472107
in epoch 63, loss = 0.7752165198326111, loss_1: 0.14012056589126587, loss_2: 0.26101183891296387, loss_4: 0.37408408522605896
