in epoch 0, loss = 0.8083279132843018
in epoch 1, loss = 0.7733691930770874
in epoch 2, loss = 0.8358207941055298
in epoch 3, loss = 0.8135640025138855
in epoch 4, loss = 0.8066571950912476
in epoch 5, loss = 0.7021467089653015
in epoch 6, loss = 0.7028441429138184
in epoch 7, loss = 0.6744014620780945
in epoch 8, loss = 0.6532079577445984
in epoch 9, loss = 0.6214758157730103
in epoch 10, loss = 0.6117609739303589
in epoch 11, loss = 0.5888378024101257
in epoch 12, loss = 0.5515154600143433
in epoch 13, loss = 0.5628629922866821
in epoch 14, loss = 0.5124932527542114
in epoch 15, loss = 0.5170366764068604
in epoch 16, loss = 0.4836265444755554
in epoch 17, loss = 0.4809507131576538
in epoch 18, loss = 0.5175118446350098
in epoch 19, loss = 0.45385226607322693
in epoch 20, loss = 0.4381411075592041
in epoch 21, loss = 0.42238450050354004
in epoch 22, loss = 0.4289817810058594
in epoch 23, loss = 0.4156831204891205
in epoch 24, loss = 0.4456441402435303
in epoch 25, loss = 0.4243755340576172
in epoch 26, loss = 0.43110281229019165
in epoch 27, loss = 0.42412811517715454
in epoch 28, loss = 0.39398860931396484
in epoch 29, loss = 0.38590073585510254
in epoch 30, loss = 0.3963475227355957
in epoch 31, loss = 0.37203118205070496
in epoch 32, loss = 0.3771301507949829
in epoch 33, loss = 0.3636234700679779
in epoch 34, loss = 0.39123737812042236
in epoch 35, loss = 0.4292028844356537
in epoch 36, loss = 0.35032737255096436
in epoch 37, loss = 0.33708661794662476
in epoch 38, loss = 0.3404708504676819
in epoch 39, loss = 0.3634208142757416
in epoch 40, loss = 0.38107141852378845
in epoch 41, loss = 0.3555072247982025
in epoch 42, loss = 0.3483486771583557
in epoch 43, loss = 0.3235429525375366
in epoch 44, loss = 0.32676875591278076
in epoch 45, loss = 0.3353796899318695
in epoch 46, loss = 0.32811224460601807
in epoch 47, loss = 0.3365785777568817
in epoch 48, loss = 0.3469561040401459
in epoch 49, loss = 0.36131495237350464
in epoch 50, loss = 0.35710734128952026
in epoch 51, loss = 0.3662588596343994
in epoch 52, loss = 0.3939487338066101
in epoch 53, loss = 0.35237783193588257
in epoch 54, loss = 0.3437935709953308
in epoch 55, loss = 0.3501523733139038
in epoch 56, loss = 0.3760805130004883
in epoch 57, loss = 0.3256097435951233
in epoch 58, loss = 0.3438872992992401
in epoch 59, loss = 0.3409504294395447
in epoch 60, loss = 0.34080225229263306
in epoch 61, loss = 0.33910053968429565
in epoch 62, loss = 0.3177887797355652
in epoch 63, loss = 0.32527029514312744
in epoch 64, loss = 0.3244835138320923
in epoch 65, loss = 0.32826757431030273
in epoch 66, loss = 0.32189008593559265
in epoch 67, loss = 0.33400899171829224
in epoch 68, loss = 0.35194605588912964
in epoch 69, loss = 0.3160993754863739
in epoch 70, loss = 0.3365671634674072
in epoch 71, loss = 0.2923249304294586
in epoch 72, loss = 0.30641281604766846
in epoch 73, loss = 0.3518451452255249
in epoch 74, loss = 0.3654178977012634
in epoch 75, loss = 0.32491347193717957
in epoch 76, loss = 0.33175933361053467
in epoch 77, loss = 0.3267847001552582
in epoch 78, loss = 0.3058832883834839
in epoch 79, loss = 0.31884029507637024
in epoch 80, loss = 0.30342239141464233
in epoch 81, loss = 0.31453049182891846
in epoch 82, loss = 0.28737661242485046
in epoch 83, loss = 0.34243130683898926
in epoch 84, loss = 0.3454929292201996
in epoch 85, loss = 0.3032994270324707
in epoch 86, loss = 0.29085978865623474
in epoch 87, loss = 0.286496102809906
in epoch 88, loss = 0.2843139171600342
in epoch 89, loss = 0.29421165585517883
in epoch 90, loss = 0.2931898534297943
in epoch 91, loss = 0.29707276821136475
in epoch 92, loss = 0.2968589961528778
in epoch 93, loss = 0.3979222774505615
in epoch 94, loss = 0.35748928785324097
in epoch 95, loss = 0.3469133973121643
in epoch 96, loss = 0.3491530418395996
in epoch 97, loss = 0.3175305426120758
in epoch 98, loss = 0.31642088294029236
in epoch 99, loss = 0.33123689889907837
in epoch 100, loss = 0.3016278147697449
in epoch 101, loss = 0.3283216655254364
in epoch 102, loss = 0.3008022904396057
in epoch 103, loss = 0.30398207902908325
in epoch 104, loss = 0.29774269461631775
in epoch 105, loss = 0.31699591875076294
