in epoch 0, loss = 0.7638605833053589
in epoch 1, loss = 0.7617401480674744
in epoch 2, loss = 0.6224359273910522
in epoch 3, loss = 0.5895290374755859
in epoch 4, loss = 0.5650615096092224
in epoch 5, loss = 0.5386557579040527
in epoch 6, loss = 0.5078284740447998
in epoch 7, loss = 0.48610854148864746
in epoch 8, loss = 0.467487096786499
in epoch 9, loss = 0.4463995397090912
in epoch 10, loss = 0.43014031648635864
in epoch 11, loss = 0.4138108193874359
in epoch 12, loss = 0.3995918929576874
in epoch 13, loss = 0.38700759410858154
in epoch 14, loss = 0.37817975878715515
in epoch 15, loss = 0.3719367980957031
in epoch 16, loss = 0.36631637811660767
in epoch 17, loss = 0.36158502101898193
in epoch 18, loss = 0.35753917694091797
in epoch 19, loss = 0.3532416820526123
in epoch 20, loss = 0.3487370014190674
in epoch 21, loss = 0.3436754643917084
in epoch 22, loss = 0.33796900510787964
in epoch 23, loss = 0.332229346036911
in epoch 24, loss = 0.32647424936294556
in epoch 25, loss = 0.31957465410232544
in epoch 26, loss = 0.3120882511138916
in epoch 27, loss = 0.3055218756198883
in epoch 28, loss = 0.306240439414978
in epoch 29, loss = 0.3121981620788574
in epoch 30, loss = 0.3138006031513214
in epoch 31, loss = 0.31344038248062134
in epoch 32, loss = 0.29398399591445923
in epoch 33, loss = 0.300689160823822
in epoch 34, loss = 0.2881249189376831
in epoch 35, loss = 0.28563547134399414
in epoch 36, loss = 0.27331653237342834
in epoch 37, loss = 0.26747721433639526
in epoch 38, loss = 0.255700945854187
in epoch 39, loss = 0.23941802978515625
in epoch 40, loss = 0.23181962966918945
in epoch 41, loss = 0.2153237909078598
in epoch 42, loss = 0.21953652799129486
in epoch 43, loss = 0.21900421380996704
in epoch 44, loss = 0.18225865066051483
in epoch 45, loss = 0.1900029182434082
in epoch 46, loss = 0.1433904618024826
in epoch 47, loss = 0.1481277048587799
in epoch 48, loss = 0.17578163743019104
in epoch 49, loss = 0.11696366965770721
in epoch 50, loss = 0.1419229805469513
in epoch 51, loss = 0.11337300390005112
in epoch 52, loss = 0.1139998659491539
in epoch 53, loss = 0.11011634767055511
in epoch 54, loss = 0.09037753194570541
