in epoch 0, loss = 0.6370168328285217
in epoch 1, loss = 0.4632713794708252
in epoch 2, loss = 0.42892521619796753
in epoch 3, loss = 0.39720237255096436
in epoch 4, loss = 0.37431663274765015
in epoch 5, loss = 0.3454246520996094
in epoch 6, loss = 0.3189384937286377
in epoch 7, loss = 0.29267001152038574
in epoch 8, loss = 0.2717791199684143
in epoch 9, loss = 0.24855011701583862
in epoch 10, loss = 0.23053234815597534
in epoch 11, loss = 0.21406269073486328
in epoch 12, loss = 0.1991693377494812
in epoch 13, loss = 0.18531066179275513
in epoch 14, loss = 0.17229533195495605
in epoch 15, loss = 0.1599460244178772
in epoch 16, loss = 0.14707845449447632
in epoch 17, loss = 0.1367642879486084
in epoch 18, loss = 0.12679564952850342
in epoch 19, loss = 0.1156964898109436
in epoch 20, loss = 0.10516291856765747
in epoch 21, loss = 0.09678405523300171
in epoch 22, loss = 0.08846902847290039
in epoch 23, loss = 0.07946550846099854
in epoch 24, loss = 0.07086443901062012
in epoch 25, loss = 0.0631607174873352
in epoch 26, loss = 0.05562698841094971
in epoch 27, loss = 0.048165977001190186
in epoch 28, loss = 0.04071718454360962
in epoch 29, loss = 0.03351259231567383
in epoch 30, loss = 0.029090821743011475
in epoch 31, loss = 0.02668154239654541
in epoch 32, loss = 0.02462834119796753
in epoch 33, loss = 0.022736847400665283
in epoch 34, loss = 0.020981788635253906
in epoch 35, loss = 0.019411861896514893
in epoch 36, loss = 0.018045544624328613
in epoch 37, loss = 0.01684749126434326
in epoch 38, loss = 0.015790045261383057
in epoch 39, loss = 0.014843404293060303
in epoch 40, loss = 0.014005780220031738
in epoch 41, loss = 0.013238787651062012
in epoch 42, loss = 0.012504339218139648
in epoch 43, loss = 0.011777639389038086
in epoch 44, loss = 0.011059224605560303
in epoch 45, loss = 0.010406553745269775
in epoch 46, loss = 0.009823143482208252
in epoch 47, loss = 0.009310305118560791
in epoch 48, loss = 0.008883953094482422
in epoch 49, loss = 0.008574306964874268
in epoch 50, loss = 0.008344292640686035
in epoch 51, loss = 0.008137702941894531
in epoch 52, loss = 0.007927894592285156
in epoch 53, loss = 0.0076601505279541016
in epoch 54, loss = 0.0074176788330078125
in epoch 55, loss = 0.007219851016998291
in epoch 56, loss = 0.007034599781036377
in epoch 57, loss = 0.006863653659820557
in epoch 58, loss = 0.006698012351989746
in epoch 59, loss = 0.00652921199798584
in epoch 60, loss = 0.006369650363922119
in epoch 61, loss = 0.006219923496246338
in epoch 62, loss = 0.006091594696044922
in epoch 63, loss = 0.005984842777252197
in epoch 64, loss = 0.005880594253540039
in epoch 65, loss = 0.005769968032836914
in epoch 66, loss = 0.005664527416229248
in epoch 67, loss = 0.005572795867919922
in epoch 68, loss = 0.005482375621795654
in epoch 69, loss = 0.005406379699707031
in epoch 70, loss = 0.005337774753570557
in epoch 71, loss = 0.005261063575744629
in epoch 72, loss = 0.005179286003112793
in epoch 73, loss = 0.005100429058074951
in epoch 74, loss = 0.005029261112213135
in epoch 75, loss = 0.00496363639831543
in epoch 76, loss = 0.004905045032501221
in epoch 77, loss = 0.004842638969421387
in epoch 78, loss = 0.00477755069732666
in epoch 79, loss = 0.004724979400634766
in epoch 80, loss = 0.004681587219238281
in epoch 81, loss = 0.004633665084838867
in epoch 82, loss = 0.0045858025550842285
in epoch 83, loss = 0.004540681838989258
in epoch 84, loss = 0.004508852958679199
in epoch 85, loss = 0.004479885101318359
in epoch 86, loss = 0.004445672035217285
in epoch 87, loss = 0.0044176578521728516
in epoch 88, loss = 0.004386723041534424
in epoch 89, loss = 0.004352986812591553
in epoch 90, loss = 0.004317045211791992
in epoch 91, loss = 0.004286289215087891
in epoch 92, loss = 0.00427091121673584
in epoch 93, loss = 0.004249155521392822
in epoch 94, loss = 0.004241585731506348
in epoch 95, loss = 0.004175543785095215
in epoch 96, loss = 0.004152834415435791
in epoch 97, loss = 0.004143178462982178
in epoch 98, loss = 0.004117012023925781
in epoch 99, loss = 0.0040749311447143555
in epoch 100, loss = 0.004030883312225342
in epoch 101, loss = 0.004023909568786621
in epoch 102, loss = 0.0040190815925598145
in epoch 103, loss = 0.00400698184967041
in epoch 104, loss = 0.003999173641204834
in epoch 105, loss = 0.0039427876472473145
in epoch 106, loss = 0.003900587558746338
in epoch 107, loss = 0.0038691163063049316
in epoch 108, loss = 0.003843545913696289
in epoch 109, loss = 0.0038298964500427246
in epoch 110, loss = 0.003820359706878662
in epoch 111, loss = 0.003818988800048828
in epoch 112, loss = 0.003825843334197998
in epoch 113, loss = 0.00386810302734375
in epoch 114, loss = 0.0037943124771118164
in epoch 115, loss = 0.0037303566932678223
in epoch 116, loss = 0.003677964210510254
in epoch 117, loss = 0.0036659836769104004
in epoch 118, loss = 0.0036736726760864258
in epoch 119, loss = 0.003682255744934082
in epoch 120, loss = 0.003722846508026123
in epoch 121, loss = 0.003655672073364258
in epoch 122, loss = 0.0036033987998962402
in epoch 123, loss = 0.003556191921234131
in epoch 124, loss = 0.0035254955291748047
in epoch 125, loss = 0.003507852554321289
in epoch 126, loss = 0.0034855008125305176
in epoch 127, loss = 0.003470480442047119
in epoch 128, loss = 0.0034806132316589355
in epoch 129, loss = 0.003613770008087158
in epoch 130, loss = 0.003856480121612549
in epoch 131, loss = 0.0038322806358337402
in epoch 132, loss = 0.003412783145904541
in epoch 133, loss = 0.003733396530151367
in epoch 134, loss = 0.0034855008125305176
in epoch 135, loss = 0.0035218000411987305
in epoch 136, loss = 0.0035144686698913574
in epoch 137, loss = 0.003398001194000244
in epoch 138, loss = 0.0035052895545959473
in epoch 139, loss = 0.0033193230628967285
in epoch 140, loss = 0.0034402012825012207
in epoch 141, loss = 0.003334641456604004
in epoch 142, loss = 0.003282904624938965
in epoch 143, loss = 0.0034114718437194824
in epoch 144, loss = 0.003298938274383545
in epoch 145, loss = 0.0032175183296203613
in epoch 146, loss = 0.003347158432006836
in epoch 147, loss = 0.00329744815826416
in epoch 148, loss = 0.0031697750091552734
in epoch 149, loss = 0.003232598304748535
in epoch 150, loss = 0.003258228302001953
in epoch 151, loss = 0.0031723976135253906
in epoch 152, loss = 0.003149867057800293
in epoch 153, loss = 0.0031969547271728516
in epoch 154, loss = 0.0031722187995910645
in epoch 155, loss = 0.0030451416969299316
in epoch 156, loss = 0.003115057945251465
in epoch 157, loss = 0.003152608871459961
in epoch 158, loss = 0.0030434727668762207
in epoch 159, loss = 0.0030443668365478516
in epoch 160, loss = 0.003039062023162842
in epoch 161, loss = 0.0030219554901123047
in epoch 162, loss = 0.0030696988105773926
in epoch 163, loss = 0.003001689910888672
in epoch 164, loss = 0.002937495708465576
in epoch 165, loss = 0.002964019775390625
