in epoch 0, loss = 0.9559940099716187
in epoch 1, loss = 0.8938589096069336
in epoch 2, loss = 0.8461105823516846
in epoch 3, loss = 0.8903704881668091
in epoch 4, loss = 0.8505911231040955
in epoch 5, loss = 0.8357808589935303
in epoch 6, loss = 0.8197054862976074
in epoch 7, loss = 0.8171848058700562
in epoch 8, loss = 0.8645492792129517
in epoch 9, loss = 0.8041348457336426
in epoch 10, loss = 0.8539919257164001
in epoch 11, loss = 0.8095769882202148
in epoch 12, loss = 0.762485146522522
in epoch 13, loss = 0.8383349180221558
in epoch 14, loss = 0.7435784339904785
in epoch 15, loss = 0.7474600076675415
in epoch 16, loss = 0.6787149906158447
in epoch 17, loss = 0.6656209230422974
in epoch 18, loss = 0.7206590175628662
in epoch 19, loss = 0.5787466764450073
in epoch 20, loss = 0.7235045433044434
in epoch 21, loss = 0.7859172821044922
in epoch 22, loss = 0.5815008878707886
in epoch 23, loss = 0.509128212928772
in epoch 24, loss = 0.5078870058059692
in epoch 25, loss = 0.6250016689300537
in epoch 26, loss = 0.45533478260040283
in epoch 27, loss = 0.41618531942367554
in epoch 28, loss = 0.3751312494277954
in epoch 29, loss = 0.3982541561126709
in epoch 30, loss = 0.3126649260520935
in epoch 31, loss = 0.3556956648826599
in epoch 32, loss = 0.23383039236068726
in epoch 33, loss = 0.19518572092056274
in epoch 34, loss = 0.26275646686553955
in epoch 35, loss = 0.2101687788963318
in epoch 36, loss = 0.17921477556228638
in epoch 37, loss = 0.2005404233932495
in epoch 38, loss = 0.18302631378173828
in epoch 39, loss = 0.4891957640647888
in epoch 40, loss = 0.23080337047576904
in epoch 41, loss = 0.23111683130264282
in epoch 42, loss = 0.24119055271148682
in epoch 43, loss = 0.36269158124923706
in epoch 44, loss = 0.18163800239562988
in epoch 45, loss = 0.20779341459274292
in epoch 46, loss = 0.21671712398529053
in epoch 47, loss = 0.1596563458442688
in epoch 48, loss = 0.19794273376464844
in epoch 49, loss = 0.13438063859939575
in epoch 50, loss = 0.17628520727157593
in epoch 51, loss = 0.21138888597488403
in epoch 52, loss = 0.3355864882469177
in epoch 53, loss = 0.14933139085769653
in epoch 54, loss = 0.1759779453277588
in epoch 55, loss = 0.18081223964691162
in epoch 56, loss = 0.19529259204864502
in epoch 57, loss = 0.13893502950668335
in epoch 58, loss = 0.1309846043586731
in epoch 59, loss = 0.19148629903793335
in epoch 60, loss = 0.14242833852767944
in epoch 61, loss = 0.2186824083328247
in epoch 62, loss = 0.1278032660484314
in epoch 63, loss = 0.21780580282211304
in epoch 64, loss = 0.18223857879638672
in epoch 65, loss = 0.19669640064239502
in epoch 66, loss = 0.1744590401649475
in epoch 67, loss = 0.17157387733459473
in epoch 68, loss = 0.13521498441696167
in epoch 69, loss = 0.12392711639404297
in epoch 70, loss = 0.11009103059768677
in epoch 71, loss = 0.12200343608856201
in epoch 72, loss = 0.14998948574066162
in epoch 73, loss = 0.12828218936920166
in epoch 74, loss = 0.15126413106918335
in epoch 75, loss = 0.1221550703048706
in epoch 76, loss = 0.12980806827545166
in epoch 77, loss = 0.10406208038330078
in epoch 78, loss = 0.11653238534927368
in epoch 79, loss = 0.15626633167266846
in epoch 80, loss = 0.16591686010360718
