in epoch 0, loss = 2.2811927795410156, loss_1: 0.7255035638809204
in epoch 1, loss = 2.1763384342193604, loss_1: 0.6240728497505188
in epoch 2, loss = 1.9874264001846313, loss_1: 0.5782384872436523
in epoch 3, loss = 1.8274754285812378, loss_1: 0.5225695967674255
in epoch 4, loss = 1.7098829746246338, loss_1: 0.4863016605377197
in epoch 5, loss = 1.5872730016708374, loss_1: 0.4523390531539917
in epoch 6, loss = 1.447373390197754, loss_1: 0.43747949600219727
in epoch 7, loss = 1.4012846946716309, loss_1: 0.42879658937454224
in epoch 8, loss = 1.3446236848831177, loss_1: 0.42429491877555847
in epoch 9, loss = 1.3232746124267578, loss_1: 0.42717546224594116
in epoch 10, loss = 1.2865583896636963, loss_1: 0.4180370271205902
in epoch 11, loss = 1.2740912437438965, loss_1: 0.4180242419242859
in epoch 12, loss = 1.2590513229370117, loss_1: 0.41462039947509766
in epoch 13, loss = 1.2439138889312744, loss_1: 0.4108428955078125
in epoch 14, loss = 1.236464262008667, loss_1: 0.4099154472351074
in epoch 15, loss = 1.2224833965301514, loss_1: 0.4046134948730469
in epoch 16, loss = 1.214208960533142, loss_1: 0.4008128046989441
in epoch 17, loss = 1.2013680934906006, loss_1: 0.3935724198818207
in epoch 18, loss = 1.1928868293762207, loss_1: 0.38956940174102783
in epoch 19, loss = 1.1818180084228516, loss_1: 0.3821542263031006
in epoch 20, loss = 1.175304651260376, loss_1: 0.3795195519924164
in epoch 21, loss = 1.1663672924041748, loss_1: 0.3747764229774475
in epoch 22, loss = 1.158775806427002, loss_1: 0.3707807958126068
in epoch 23, loss = 1.1544816493988037, loss_1: 0.3697361648082733
in epoch 24, loss = 1.1485021114349365, loss_1: 0.3670855462551117
in epoch 25, loss = 1.1419819593429565, loss_1: 0.3642227351665497
in epoch 26, loss = 1.1376614570617676, loss_1: 0.363768070936203
in epoch 27, loss = 1.136581301689148, loss_1: 0.3633995056152344
in epoch 28, loss = 1.140453577041626, loss_1: 0.36442646384239197
in epoch 29, loss = 1.125076174736023, loss_1: 0.3619481921195984
in epoch 30, loss = 1.119241714477539, loss_1: 0.3591344952583313
in epoch 31, loss = 1.1191179752349854, loss_1: 0.3606974482536316
in epoch 32, loss = 1.1120694875717163, loss_1: 0.3580055236816406
in epoch 33, loss = 1.1070705652236938, loss_1: 0.35677242279052734
in epoch 34, loss = 1.102874994277954, loss_1: 0.35522913932800293
in epoch 35, loss = 1.09553062915802, loss_1: 0.35381564497947693
in epoch 36, loss = 1.0942323207855225, loss_1: 0.3532905578613281
in epoch 37, loss = 1.0894231796264648, loss_1: 0.3510611951351166
in epoch 38, loss = 1.0831393003463745, loss_1: 0.35057568550109863
in epoch 39, loss = 1.0820119380950928, loss_1: 0.3484339118003845
in epoch 40, loss = 1.0743836164474487, loss_1: 0.34540534019470215
in epoch 41, loss = 1.0713272094726562, loss_1: 0.3423394560813904
in epoch 42, loss = 1.0652105808258057, loss_1: 0.3382178246974945
in epoch 43, loss = 1.0546473264694214, loss_1: 0.3302629590034485
in epoch 44, loss = 1.0367906093597412, loss_1: 0.31139424443244934
in epoch 45, loss = 0.9786502122879028, loss_1: 0.25507020950317383
in epoch 46, loss = 1.1101324558258057, loss_1: 0.359968900680542
in epoch 47, loss = 1.1345089673995972, loss_1: 0.3478519916534424
in epoch 48, loss = 1.1474623680114746, loss_1: 0.3567885756492615
in epoch 49, loss = 1.0934138298034668, loss_1: 0.3055747449398041
in epoch 50, loss = 1.0385448932647705, loss_1: 0.2571812868118286
in epoch 51, loss = 0.993565022945404, loss_1: 0.23484787344932556
in epoch 52, loss = 0.9228075742721558, loss_1: 0.16110920906066895
in epoch 53, loss = 0.9638842940330505, loss_1: 0.17921391129493713
in epoch 54, loss = 1.0088026523590088, loss_1: 0.2157769650220871
in epoch 55, loss = 1.0239472389221191, loss_1: 0.22917628288269043
in epoch 56, loss = 0.9505923390388489, loss_1: 0.18892517685890198
in epoch 57, loss = 0.9509038925170898, loss_1: 0.19695505499839783
in epoch 58, loss = 0.9387515783309937, loss_1: 0.17488478124141693
in epoch 59, loss = 0.9013089537620544, loss_1: 0.14617305994033813
in epoch 60, loss = 0.867469847202301, loss_1: 0.13138411939144135
in epoch 61, loss = 0.847990095615387, loss_1: 0.11037357896566391
in epoch 62, loss = 0.834304928779602, loss_1: 0.10054676234722137
in epoch 63, loss = 0.8269695043563843, loss_1: 0.09470989555120468
in epoch 64, loss = 0.8256255984306335, loss_1: 0.09131836891174316
in epoch 65, loss = 0.8245742321014404, loss_1: 0.09253156185150146
in epoch 66, loss = 0.8116732239723206, loss_1: 0.09061996638774872
in epoch 67, loss = 0.8022311925888062, loss_1: 0.08414892852306366
in epoch 68, loss = 0.8026593923568726, loss_1: 0.08085024356842041
in epoch 69, loss = 0.7993896007537842, loss_1: 0.07950939983129501
in epoch 70, loss = 0.7945987582206726, loss_1: 0.07857754081487656
in epoch 71, loss = 0.7877213954925537, loss_1: 0.076849564909935
in epoch 72, loss = 0.7808253169059753, loss_1: 0.07434283196926117
in epoch 73, loss = 0.7769565582275391, loss_1: 0.07259806245565414
in epoch 74, loss = 0.7745146751403809, loss_1: 0.07349789142608643
in epoch 75, loss = 0.769982099533081, loss_1: 0.07276731729507446
in epoch 76, loss = 0.7598869800567627, loss_1: 0.0688500627875328
in epoch 77, loss = 0.7441378831863403, loss_1: 0.06743808835744858
in epoch 78, loss = 0.7050110101699829, loss_1: 0.06761310994625092
in epoch 79, loss = 0.6550470590591431, loss_1: 0.0710822194814682
in epoch 80, loss = 0.6483885049819946, loss_1: 0.06858795881271362
in epoch 81, loss = 0.6416853666305542, loss_1: 0.06970791518688202
in epoch 82, loss = 0.6785472631454468, loss_1: 0.08589904010295868
in epoch 83, loss = 0.6313313245773315, loss_1: 0.07203710079193115
in epoch 84, loss = 0.6655670404434204, loss_1: 0.08420652151107788
in epoch 85, loss = 0.6127043962478638, loss_1: 0.06829880177974701
in epoch 86, loss = 0.605107307434082, loss_1: 0.0665556788444519
in epoch 87, loss = 0.5714070200920105, loss_1: 0.06556515395641327
in epoch 88, loss = 0.5087912082672119, loss_1: 0.06390496343374252
in epoch 89, loss = 0.49846139550209045, loss_1: 0.06513009965419769
in epoch 90, loss = 0.4732799530029297, loss_1: 0.06346867978572845
in epoch 91, loss = 0.46015945076942444, loss_1: 0.06311029195785522
in epoch 92, loss = 0.4596651792526245, loss_1: 0.06325127929449081
in epoch 93, loss = 0.436867356300354, loss_1: 0.06527996063232422
in epoch 94, loss = 0.4288756251335144, loss_1: 0.06449329853057861
in epoch 95, loss = 0.4211115539073944, loss_1: 0.06305968761444092
in epoch 96, loss = 0.41889965534210205, loss_1: 0.06219959259033203
in epoch 97, loss = 0.4093754291534424, loss_1: 0.061959266662597656
in epoch 98, loss = 0.40492552518844604, loss_1: 0.06148284673690796
in epoch 99, loss = 0.39861398935317993, loss_1: 0.06145944446325302
in epoch 100, loss = 0.38944321870803833, loss_1: 0.059964537620544434
in epoch 101, loss = 0.3939516544342041, loss_1: 0.06019286438822746
